model_name,train_seed,node,method,test_seed,scenario,mismatch,noise_std,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
lqr_node2_q1_r1,-1,2,LQR,100,mismatch,0.0,0.0,-1,0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,mismatch,0.0,0.0,-1,0.04378619647707948,0.1680489185362422,0.13135858943123843,0.02279623132199049,0.005300581455230713,0.09321030374254075,5.064832514353172,0.01,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,mismatch,0.0,0.0,-1,0.050650483402961605,0.16812074383269043,0.15195145020888481,0.04614214107026288,0.023879051208496094,0.06317512040720913,2.4323675719847113,0.005,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,mismatch,0.0,0.0,-1,0.04717061474918545,0.16743956956885384,0.14151184424755636,0.04244261483351389,0.018027007579803467,0.134648198024962,6.060362133656874,0.01,,
lqr_node2_q1_r1,-1,2,LQR,101,mismatch,0.0,0.0,-1,0.019031788669476257,0.07043030734396469,0.057095366008428766,1.8338431362752562e-07,1.6205012798309326e-07,0.02431365363685615,0.515950011658273,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,101,mismatch,0.0,0.0,-1,0.02628094951505289,0.06585878389907285,0.07884284854515866,0.02203976596924074,0.010785222053527832,0.0707183264363139,4.134022601471453,0.01,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,101,mismatch,0.0,0.0,-1,0.03282688400094225,0.0697211358659647,0.09848065200282674,0.03903071820896901,0.03838684782385826,0.05406129140954957,2.5878731819503504,0.0075,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,101,mismatch,0.0,0.0,-1,0.03029949236643777,0.06938099040036966,0.09089847709931331,0.025880837479583276,0.009122590534389019,0.08289870878035885,2.986175819662868,0.0075,,
lqr_node2_q1_r1,-1,2,LQR,102,mismatch,0.0,0.0,-1,0.07351619550710155,0.25016716668357153,0.22054858652130466,5.503570270023228e-08,0.0,0.0907323790218887,3.5762630772842616,0.005,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,102,mismatch,0.0,0.0,-1,0.062235010025677516,0.2190489816901892,0.18670503007703254,0.01774693752443533,0.007959723472595215,0.17055433113453097,9.944471097433574,0.0225,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,102,mismatch,0.0,0.0,-1,0.06783120901573911,0.22210069117867046,0.20349362704721732,0.042644565649054667,0.034211039543151855,0.13821974850057664,7.332143452191975,0.0175,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,102,mismatch,0.0,0.0,-1,0.06599092449805546,0.22097662203073787,0.1979727734941664,0.021633110175852056,0.018151402473449707,0.17386497365789222,9.970144520261947,0.0225,,
lqr_node2_q1_r1,-1,2,LQR,103,mismatch,0.0,0.0,-1,0.0966143471682181,0.2843115076683705,0.2898430415046543,3.03013273227362e-07,0.0,0.10137642754722458,5.028465392496943,0.01,,
