scenario,node,method,mismatch,noise_std,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,0.0,20,0.09069465470204849,0.07554084795221791,0.3003675720314937,0.22318775244868388,0.2720839641061455,0.22662254385665373,2.023535435674367e-07,2.5710509610809475e-07,5.043111741542816e-08,1.1778320189625107e-07,0.0895042447427197,0.05587131472223131,3.775851110769346,3.3230010037301754,0.006500000000000001,0.007838837185517545,,,,
mismatch,2,LQR,0.5,0.0,20,0.12969213694022233,0.06132410690338618,0.33264184886332465,0.1835243527900316,0.3890764108206671,0.18397232071015857,0.10909251163334206,0.05413934011046291,0.06682240479858592,0.070702908655086,0.13166856955188228,0.052402790851543056,5.281898055686232,3.5445249692832945,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,1.0,0.0,20,0.16336520572815397,0.06771884034626956,0.35190504421501506,0.1814032054368598,0.4900956171844618,0.20315652103880863,0.2168660181805917,0.11338811421413225,0.13519350891001522,0.1432264312933405,0.15088745748602142,0.054993092054075814,5.345948737141465,3.5731828977090676,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,1.5,0.0,20,0.1978226786451,0.08164010765867895,0.3792861366760706,0.1826691944648609,0.5934680359353001,0.24492032297603683,0.3253007332391945,0.18390941185411783,0.20491506739053875,0.21961871573108455,0.17042643938335053,0.059802616575729314,5.444662008295617,3.6047661973309366,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,2.0,0.0,20,0.23298215126299984,0.10211199669431545,0.4128265676065572,0.1919777020125237,0.6989464537889996,0.3063359900829463,0.4357401173855006,0.26988688205765504,0.2776608735555783,0.301038505390148,0.1901391853508878,0.06677608702202101,5.576733804264058,3.643335064527832,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,PPO,0.0,0.0,60,0.0929981289513692,0.07331881807286514,0.2863257572069679,0.22464704303646094,0.2789943868541076,0.21995645421859542,0.04255003026902672,0.01758397956103889,0.03469352051615715,0.03025535253320978,0.16260495341320216,0.09389672003505922,9.088689533636172,6.680523355985504,0.02183333333333333,0.018214044373213174,,,,
mismatch,2,PPO,0.5,0.0,60,0.11154866376195548,0.06424927375461657,0.31494876693311774,0.19328441024143195,0.3346459912858664,0.19274782126384973,0.06349903814683366,0.03339176952875404,0.05041777058892573,0.05941160741705014,0.20318832796497432,0.09195591939901353,11.271510155639202,6.955129950912449,0.028249999999999997,0.019777898124858667,,,,
mismatch,2,PPO,1.0,0.0,60,0.1288883985108185,0.0687037335304086,0.32273411913544714,0.19780973183605224,0.38666519553245554,0.20611120059122578,0.10294928053042317,0.04628139095300154,0.08043205736515423,0.09688017105781525,0.2224737086112697,0.09533225976461011,11.359279345448508,7.112002659283669,0.02804166666666667,0.01981424151126322,,,,
mismatch,2,PPO,1.5,0.0,60,0.1486494354984921,0.07626430289297802,0.33435086025470556,0.2037009468558209,0.4459483064954763,0.22879290867893404,0.1482551190680192,0.057974985115511184,0.11452369280935576,0.13176131951661715,0.24406750936027075,0.10256396414394608,11.547328257420395,7.395478823734104,0.028166666666666666,0.020083863719934567,,,,
mismatch,2,PPO,2.0,0.0,60,0.1702594470683129,0.08808097977307414,0.35012079759194864,0.21231440086085562,0.5107783412049387,0.2642429393192224,0.1966029342506349,0.07265763776050027,0.15001567126018928,0.16521651354065478,0.26805421450622036,0.11372892181577712,11.845567609284256,7.788156199424364,0.02854166666666667,0.020963505752767776,,,,
