model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time
linear_gain_8,-1,2,Linear,0,0.0,200,2.3246697748090734,3.1395064909022423,6.97400932442722,5.362016651733422,11.69260385632515,1.4968636530518828,65.1416928013584,0.0575,16.30269980430603,6.236521214682294,-1,nan
lqr_node2_q1_r1,-1,2,LQR,0,0.0,200,0.5431304760195984,1.0974104725582194,1.629391428058795,0.09554566568292586,0.004235327243804932,0.24852820257397898,9.047448132227997,0.015,14.999964714050293,2.2639624115997066,146,7.300000000000001
zero_input,-1,2,Zero Input,0,0.0,200,1.7262996034735407,2.1444822946569913,5.178898810420622,5.684952974319458,3.8770211338996887,0.0,0.0,0.0,13.249173521995544,5.966573052516031,-1,nan
linear_gain_8,-1,2,Linear,1,0.0,200,2.1473109204901175,3.1615970455461686,6.441932761470353,5.23470456695851,11.826213359832764,1.4456122606026562,65.37381624854201,0.0525,18.064556121826172,4.967700015308697,-1,nan
lqr_node2_q1_r1,-1,2,LQR,1,0.0,200,0.4829185168248782,1.0897621091142515,1.4487555504746346,0.10638096427292,0.006181180477142334,0.3061074101196135,14.049185434020092,0.0275,15.00002384185791,2.6086324761200013,150,7.5
zero_input,-1,2,Zero Input,1,0.0,200,1.4963661565438395,2.1251151142955083,4.489098469631519,1.3858593774062615,3.194657623767853,0.0,0.0,0.0,16.0663480758667,4.394175839809636,-1,nan
linear_gain_8,-1,2,Linear,2,0.0,200,2.583666833148571,3.8295012782918256,7.751000499445713,5.5854272294191665,11.820088893175125,1.5236675837019138,75.48276224802572,0.095,17.728532552719116,10.777196904421965,-1,nan
lqr_node2_q1_r1,-1,2,LQR,2,0.0,200,0.4103751665078791,0.9980217399592561,1.2311254995236374,0.10102015531357424,0.005156278610229492,0.20974183816059083,7.654449647479023,0.01,14.999998569488525,2.386846045504755,147,7.3500000000000005
zero_input,-1,2,Zero Input,2,0.0,200,1.339553929376087,1.9020893872397968,4.01866178812826,1.3212968409061432,3.027127742767334,0.0,0.0,0.0,14.991974592208862,4.502172143972335,-1,nan
linear_gain_8,-1,2,Linear,3,0.0,200,3.1403289757675164,4.3235313491127965,9.42098692730255,5.565455088276922,11.79705148935318,1.7658457656453672,88.15609559206585,0.0925,17.87744665145874,10.816243261766077,-1,nan
lqr_node2_q1_r1,-1,2,LQR,3,0.0,200,0.44603724840870523,1.010036590016419,1.3381117452261158,0.10120801167723573,0.005116820335388184,0.2150131637088945,7.2630087262307335,0.01,15.00001573562622,2.379798676763008,147,7.3500000000000005
