scenario,node,method,mismatch,num_runs,mae_mean,mae_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,20,0.09069465470204849,0.07554084795221791,2.023535435674367e-07,2.5710509610809475e-07,5.043111741542816e-08,1.1778320189625107e-07,3.775851110769346,3.3230010037301754,0.006500000000000001,0.007838837185517545,,
mismatch,2,LQR,1.0,20,0.16336520572815397,0.06771884034626956,0.2168660181805917,0.11338811421413225,0.13519350891001522,0.1432264312933405,5.345948737141465,3.5731828977090676,0.009375000000000003,0.008954379992642236,,
mismatch,2,LQR,2.0,20,0.23298215126299984,0.10211199669431545,0.4357401173855006,0.26988688205765504,0.2776608735555783,0.301038505390148,5.576733804264058,3.643335064527832,0.009375000000000003,0.008954379992642236,,
mismatch,2,PPO,0.0,60,0.0929981289513692,0.07331881807286514,0.04255003026902672,0.01758397956103889,0.03469352051615715,0.03025535253320978,9.088689533636172,6.680523355985504,0.02183333333333333,0.018214044373213174,,
mismatch,2,PPO,1.0,60,0.1288883985108185,0.0687037335304086,0.10294928053042317,0.04628139095300154,0.08043205736515423,0.09688017105781525,11.359279345448508,7.112002659283669,0.02804166666666667,0.01981424151126322,,
mismatch,2,PPO,2.0,60,0.1702594470683129,0.08808097977307414,0.1966029342506349,0.07265763776050027,0.15001567126018928,0.16521651354065478,11.845567609284256,7.788156199424364,0.02854166666666667,0.020963505752767776,,
mismatch,2,SMC,0.0,20,0.10179208654525104,0.0834674705212661,3.6315685447109973e-06,3.839170016081481e-06,5.565118044614791e-07,7.29606545848728e-07,5.591954695085559,3.93352973392924,0.014750000000000003,0.011029267284915406,,
mismatch,2,SMC,1.0,20,0.16492119517503656,0.06923237193980265,0.19280523070318187,0.0920383583453702,0.1414853809401393,0.16540841156103012,7.601783975579503,3.9101884666923574,0.019750000000000004,0.010909315189082074,,
mismatch,2,SMC,2.0,20,0.22234904026222263,0.08943628766616005,0.3785707473338088,0.19981749728857537,0.28217750748153775,0.3393437709843564,7.844128933271873,3.99573226902934,0.019875000000000004,0.011046403320347734,,
mismatch,3,LQR,0.0,20,0.050989270932401576,0.020949506345984803,2.235403326828677e-05,2.5466807419046515e-05,4.323991015553475e-06,4.179233088304244e-06,2.648745658842392,2.202997524479642,0.002125,0.0044629321256204136,,
mismatch,3,LQR,1.0,20,0.07106357158607039,0.024454505810597906,0.08421336560751552,0.040333388281367406,0.08268857195507735,0.0941201806727627,3.416549262681903,2.305322605510963,0.003125,0.004579344356656541,,
mismatch,3,LQR,2.0,20,0.09890870556683555,0.033326064266823864,0.16621115719554602,0.07962969176277362,0.16271671976428478,0.18414123706099497,3.559241243307054,2.310007896136075,0.003125,0.004579344356656541,,
mismatch,3,PPO,0.0,60,0.043139548069812954,0.01867933968570276,0.009091709084647619,0.0060853665037896194,0.009053153715406855,0.00767148380241214,6.535917017098632,3.090089849534746,0.016833333333333332,0.009977375536626356,,
mismatch,3,PPO,1.0,60,0.0505829717861873,0.023030337512756203,0.048701968648060846,0.030209538343851237,0.03825504231499508,0.0338146861098031,6.306250708861681,2.608724092814828,0.016166666666666666,0.008392726202334057,,
mismatch,3,PPO,2.0,60,0.06558921886451075,0.02816991379733895,0.09547352081240411,0.06159952473416222,0.07444617070723325,0.0690021313806549,6.440593860340473,2.626178898785275,0.016291666666666666,0.008493413034331453,,
mismatch,3,SMC,0.0,20,0.07279484952270736,0.04148978200076096,5.0251165700984405e-05,6.190625198606624e-05,6.5211672335863115e-06,1.2870075960148152e-05,4.595304947756912,2.7432540043176443,0.011375,0.008369548500681692,,
mismatch,3,SMC,1.0,20,0.0911633160914018,0.041728982771092625,0.1361319535390336,0.0874245936267236,0.12118061892688274,0.1358308977362312,5.661833548474083,2.45870699052238,0.015000000000000003,0.007947194142390262,,
mismatch,3,SMC,2.0,20,0.12567127208228912,0.05002833740399885,0.26646636577242594,0.16162646477650844,0.2379277770407498,0.2687467357962166,5.823056853028165,2.4520672670145807,0.014875000000000003,0.00792543374207368,,
