method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
Fixed_k8,3,-1,100,0.03,1.0,0.03,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.05459882496335139,0.09648692669904685,0.16379647489005417,0.08551059834038217,0.04430067352950573,0.12135218665412537,3.8480041734296777,0.0075
Fixed_k8,3,-1,101,0.03,1.0,0.03,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07532721722238415,0.19202584254397007,0.22598165166715248,0.03384901831547419,0.033930569887161255,0.16296034551543784,5.829574429824682,0.0
Fixed_k8,3,-1,102,0.03,1.0,0.03,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.07137329791554854,0.17720885776846776,0.21411989374664564,0.06284822901871837,0.02166687697172165,0.16620282618389315,6.1303016822669365,0.0125
Fixed_k8,3,-1,103,0.03,1.0,0.03,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.06144051589125942,0.154671800067583,0.18432154767377826,0.08202877909772927,0.04835781455039978,0.16075237581223026,5.7658440624904586,0.015
Fixed_k8,3,-1,104,0.03,1.0,0.03,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.10101502412366538,0.2147986640780704,0.30304507237099615,0.08842272834024495,0.05121214687824249,0.16722256628020743,6.603474739726209,0.015
Fixed_k8,3,-1,105,0.03,1.0,0.03,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.03785510729968932,0.0906415370468014,0.11356532189906796,0.056764271708182344,0.10618877410888672,0.1037763524568289,3.217664905331105,0.005
Fixed_k8,3,-1,106,0.03,1.0,0.03,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.03967496731584847,0.12073448929125218,0.1190249019475454,0.026155929931979856,0.02303625550121069,0.0907442706713727,2.8557972905319597,0.0
Fixed_k8,3,-1,107,0.03,1.0,0.03,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.09524941902548843,0.2122077032526795,0.2857482570764653,0.10353938205006682,0.0975603461265564,0.15731379597858894,4.601981126796883,0.01
Fixed_k8,3,-1,108,0.03,1.0,0.03,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.10101068158520204,0.19729878752476654,0.30303204475560613,0.11421245124972897,0.1558361053466797,0.19403283043469574,6.257478421909572,0.0125
Fixed_k8,3,-1,109,0.03,1.0,0.03,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.08614145947971745,0.24259387477782923,0.25842437843915234,0.05145023365930459,0.024491969496011734,0.16197177288389564,5.5766617815646065,0.0
Fixed_k8,3,-1,110,0.03,1.0,0.03,0,deterministic,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.027801243946380474,0.06603733309532195,0.08340373183914142,0.06705813597956742,0.04725740849971771,0.08225436567182552,1.0710608596652758,0.0
Fixed_k8,3,-1,111,0.03,1.0,0.03,0,deterministic,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.030226105148265337,0.05010204552413281,0.09067831544479601,0.04338129969704666,0.006181837059557438,0.08127867711935555,2.533820132593388,0.005
Fixed_k8,3,-1,112,0.03,1.0,0.03,0,deterministic,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06259858151081042,0.18045044204281813,0.18779574453243125,0.03148021469364104,0.001628730446100235,0.11797263010165787,1.8830531516927023,0.0
Fixed_k8,3,-1,113,0.03,1.0,0.03,0,deterministic,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06214106366106449,0.13918782386408507,0.1864231909831935,0.061406023898104456,0.034846290946006775,0.1348817826357863,3.01303410123497,0.005
Fixed_k8,3,-1,114,0.03,1.0,0.03,0,deterministic,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.021509465369173725,0.06421790187260241,0.06452839610752117,0.007296712109014208,0.012289091944694519,0.07791209064814218,2.141379328272129,0.0025
Fixed_k8,3,-1,115,0.03,1.0,0.03,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.025389924441430956,0.038186021234732366,0.07616977332429287,0.06657046171618097,0.10821095108985901,0.06239031703952245,1.514998599035841,0.0
