method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
LQR_R1,3,-1,100,0.03,1.0,0.03,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.053608295174450274,0.09301443491562199,0.16082488552335084,0.08079446334230864,0.039177194237709045,0.1287706915084203,3.492221459969304,0.0
LQR_R1,3,-1,101,0.03,1.0,0.03,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.10954912962292879,0.19985228038621944,0.32864738886878636,0.14845449532623645,0.22858038544654846,0.1746910051995229,6.62943281443685,0.0075
LQR_R1,3,-1,102,0.03,1.0,0.03,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.11390182503490574,0.24075574275221476,0.34170547510471727,0.11046217329064269,0.04668938368558884,0.12341095749432503,1.8716314828230243,0.0
LQR_R1,3,-1,103,0.03,1.0,0.03,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.05957334835379573,0.14836993407487495,0.17872004506138717,0.07319705397534518,0.051090627908706665,0.16907307880459135,5.783454084988413,0.01
LQR_R1,3,-1,104,0.03,1.0,0.03,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.10814595785505252,0.20810501868831013,0.3244378735651576,0.10548247496689452,0.03322587930597365,0.18890092770163025,7.694565828353804,0.015
LQR_R1,3,-1,105,0.03,1.0,0.03,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.06286682579619926,0.1477975375302875,0.18860047738859778,0.05075054661727246,0.09871536493301392,0.09261458623963303,1.0328892639226497,0.0
LQR_R1,3,-1,106,0.03,1.0,0.03,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.04185108450653244,0.1205341783487004,0.1255532535195973,0.03313751251114831,0.01517099910415709,0.09160976460467132,2.6763963307780383,0.0
LQR_R1,3,-1,107,0.03,1.0,0.03,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.10233155883854861,0.21127611084080136,0.3069946765156458,0.17053247215571227,0.33748161792755127,0.16729843083856466,4.003431660944421,0.005
LQR_R1,3,-1,108,0.03,1.0,0.03,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.08220620559108871,0.17489393538904574,0.24661861677326616,0.13329135260924144,0.269364595413208,0.1723422367744333,5.999420047889707,0.0075
LQR_R1,3,-1,109,0.03,1.0,0.03,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.08221707001896707,0.21542591348370338,0.2466512100569012,0.04768828500959056,0.021766647696495056,0.18056846698004336,7.202395439620779,0.01
