node,mismatch,test_seed,method,continuous_mae,direct_key_word_disagreement,direct_key_bit_disagreement,direct_master_unique_values_per_stream,direct_master_entropy_bits,legacy_key_word_disagreement,legacy_key_bit_disagreement,legacy_master_unique_values_per_stream,legacy_master_entropy_bits,recovered_image_mae,recovered_image_psnr_db,exact_recovery
2,2.0,100,PPO,0.018719614447036292,0.01171875,0.00390625,2.0,1.308901740588901,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,100,SAC,0.04567515463471258,0.03125,0.018229166666666668,2.0,1.308901740588901,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,100,Fixed,2.1862782613364593,0.73046875,0.3776041666666667,2.0,1.308901740588901,0.75,0.5,1.0,-0.0,122.53352864583333,6.067882677495691,False
2,2.0,100,LQR,0.03215224583861224,0.01171875,0.00390625,2.0,1.308901740588901,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,100,SMC,0.020809146607158862,0.01171875,0.00390625,2.0,1.308901740588901,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,101,PPO,0.05550268926223604,0.0625,0.03515625,2.25,1.597283178710625,0.0,0.0,1.0,0.8112781244591328,0.0,361.20199909921956,True
2,2.0,101,SAC,0.16778192536548886,0.12109375,0.055989583333333336,2.25,1.597283178710625,0.0,0.0,1.0,0.8112781244591328,0.0,361.20199909921956,True
2,2.0,101,Fixed,2.0231346868610367,0.69140625,0.2981770833333333,2.25,1.597283178710625,0.75,0.6666666666666666,1.0,0.8112781244591328,122.53352864583333,6.067882677495691,False
2,2.0,101,LQR,0.22491352024674902,0.234375,0.11848958333333333,2.25,1.597283178710625,0.75,0.5833333333333334,1.0,0.8112781244591328,69.046875,8.408542751197704,False
2,2.0,101,SMC,0.3719767992085205,0.41796875,0.19921875,2.25,1.597283178710625,0.75,0.5833333333333334,1.0,0.8112781244591328,69.046875,8.408542751197704,False
2,2.0,102,PPO,0.061330904251614506,0.06640625,0.049479166666666664,2.5,1.6405423642126495,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,102,SAC,0.06191886443654463,0.04296875,0.03125,2.5,1.6405423642126495,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,102,Fixed,3.436383704043692,0.70703125,0.3502604166666667,2.5,1.6405423642126495,0.75,0.5833333333333334,1.0,-0.0,91.65478515625,8.046486414439123,False
2,2.0,102,LQR,0.10472031328633118,0.09765625,0.07161458333333333,2.5,1.6405423642126495,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,102,SMC,0.06823995923211139,0.0625,0.04296875,2.5,1.6405423642126495,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,103,PPO,0.031579640566633316,0.01171875,0.009114583333333334,1.25,0.3372900666170139,0.25,0.25,1.0,0.8112781244591328,91.65478515625,8.046486414439123,False
2,2.0,103,SAC,0.0790187282267046,0.02734375,0.02734375,1.25,0.3372900666170139,0.0,0.0,1.0,0.8112781244591328,0.0,361.20199909921956,True
2,2.0,103,Fixed,2.8333500461631047,0.75,0.43359375,1.25,0.3372900666170139,0.75,0.3333333333333333,1.0,0.8112781244591328,111.1044921875,6.094821948486523,False
2,2.0,103,LQR,0.09578152358032337,0.05078125,0.032552083333333336,1.25,0.3372900666170139,0.25,0.25,1.0,0.8112781244591328,91.65478515625,8.046486414439123,False
2,2.0,103,SMC,0.052305561673468524,0.01171875,0.01171875,1.25,0.3372900666170139,0.0,0.0,1.0,0.8112781244591328,0.0,361.20199909921956,True
2,2.0,104,PPO,0.033401936144703846,0.04296875,0.03515625,2.5,1.9862492829835423,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,104,SAC,0.07864445325928197,0.08203125,0.0546875,2.5,1.9862492829835423,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,104,Fixed,1.9639431482864893,0.78515625,0.4348958333333333,2.5,1.9862492829835423,0.75,0.5,1.0,-0.0,111.1044921875,6.094821948486523,False
2,2.0,104,LQR,0.04036877270846162,0.03125,0.026041666666666668,2.5,1.9862492829835423,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,104,SMC,0.036035599949779375,0.02734375,0.0234375,2.5,1.9862492829835423,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,105,PPO,0.04587987194645393,0.0390625,0.0234375,2.25,1.6991214433977917,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,105,SAC,0.07349056499697326,0.12890625,0.10546875,2.25,1.6991214433977917,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,105,Fixed,3.615450670960248,0.73046875,0.37109375,2.25,1.6991214433977917,1.0,0.6666666666666666,1.0,1.5,122.53352864583333,6.067882677495691,False
2,2.0,105,LQR,0.049150409678380434,0.06640625,0.053385416666666664,2.25,1.6991214433977917,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,105,SMC,0.054134497622878065,0.1015625,0.09114583333333333,2.25,1.6991214433977917,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,106,PPO,0.043593934206000995,0.0234375,0.013020833333333334,2.25,1.8827771081594626,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,106,SAC,0.054410695612508185,0.046875,0.036458333333333336,2.25,1.8827771081594626,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,106,Fixed,1.6802515274709247,0.64453125,0.3385416666666667,2.25,1.8827771081594626,0.75,0.5,1.0,-0.0,122.53352864583333,6.067882677495691,False
2,2.0,106,LQR,0.04793260384879735,0.02734375,0.01953125,2.25,1.8827771081594626,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,106,SMC,0.046333459610953774,0.0234375,0.015625,2.25,1.8827771081594626,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,107,PPO,0.18199315722449683,0.31640625,0.24739583333333334,3.25,1.8617983767391832,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,107,SAC,0.15187740581556378,0.2890625,0.24609375,3.25,1.8617983767391832,0.25,0.08333333333333333,1.0,1.5,69.046875,8.408542751197704,False
2,2.0,107,Fixed,2.31855538742578,0.765625,0.3776041666666667,3.25,1.8617983767391832,0.5,0.4166666666666667,1.0,1.5,91.67692057291667,8.062368665026087,False
2,2.0,107,LQR,0.2535037989146076,0.38671875,0.2994791666666667,3.25,1.8617983767391832,0.5,0.3333333333333333,1.0,1.5,122.53352864583333,6.067882677495691,False
2,2.0,107,SMC,0.28145163306908216,0.390625,0.29296875,3.25,1.8617983767391832,0.5,0.3333333333333333,1.0,1.5,122.53352864583333,6.067882677495691,False
2,2.0,108,PPO,0.09665489006147254,0.1796875,0.07552083333333333,3.75,1.9634239993585991,0.0,0.0,1.0,1.5,0.0,361.20199909921956,True
2,2.0,108,SAC,0.1534566658665426,0.2734375,0.10677083333333333,3.75,1.9634239993585991,0.0,0.0,1.0,1.5,0.0,361.20199909921956,True
2,2.0,108,Fixed,2.562219493993325,0.72265625,0.3932291666666667,3.75,1.9634239993585991,0.5,0.3333333333333333,1.0,1.5,62.357584635416664,11.942826524809663,False
2,2.0,108,LQR,0.1681410592912774,0.265625,0.13151041666666666,3.75,1.9634239993585991,0.25,0.08333333333333333,1.0,1.5,63.822265625,8.985652582701588,False
2,2.0,108,SMC,0.17536091070602802,0.2734375,0.13932291666666666,3.75,1.9634239993585991,0.25,0.08333333333333333,1.0,1.5,63.822265625,8.985652582701588,False
2,2.0,109,PPO,0.017262718001196237,0.015625,0.005208333333333333,1.75,1.0776166837811876,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,109,SAC,0.048249813426082255,0.02734375,0.016927083333333332,1.75,1.0776166837811876,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,109,Fixed,2.4659753224380743,0.73046875,0.3645833333333333,1.75,1.0776166837811876,0.75,0.5,1.0,-0.0,122.53352864583333,6.067882677495691,False
2,2.0,109,LQR,0.03939082149493819,0.02734375,0.009114583333333334,1.75,1.0776166837811876,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,109,SMC,0.025255411412217654,0.01953125,0.006510416666666667,1.75,1.0776166837811876,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,110,PPO,0.06065311941104786,0.078125,0.036458333333333336,2.75,2.0879370604154586,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,110,SAC,0.07303627234311232,0.09375,0.048177083333333336,2.75,2.0879370604154586,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,110,Fixed,1.6177699847394251,0.734375,0.4049479166666667,2.75,2.0879370604154586,0.75,0.5,1.0,-0.0,62.357584635416664,11.942826524809663,False
2,2.0,110,LQR,0.09661635139733941,0.08984375,0.044270833333333336,2.75,2.0879370604154586,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,110,SMC,0.06597067326705049,0.0859375,0.040364583333333336,2.75,2.0879370604154586,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,111,PPO,0.048717107243040424,0.0703125,0.053385416666666664,2.25,1.735190240989289,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
2,2.0,111,SAC,0.09841829625414296,0.140625,0.11458333333333333,2.25,1.735190240989289,0.0,0.0,1.0,-0.0,0.0,361.20199909921956,True
