controlled_nodes,num_control_inputs,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std
1-2-3,3,20,0.012106428221707115,0.007294405039330232,0.07542559875224462,0.04029033185424251,0.03631928466512134,0.021883215117990695,0.010496607539315857,0.0016533926057832344,0.01015622764825821,0.0035991814480006647,0.16691913055093435,0.09879019322125968,11.018281827930242,7.605981164169048,0.01008333333333333,0.00730446871154191
2,1,20,0.0934264077875722,0.07249257321631714,0.2851762579719898,0.22511063760065267,0.2802792233627166,0.2174777196489514,0.04231638661722285,0.017127189403253973,0.033885637298226357,0.030762956593150002,0.1744538628795832,0.07781093292855443,9.26914526254525,5.632673861451872,0.021,0.015183093090324963
2-3,2,20,0.01948095595133202,0.011675188806522024,0.09751918450040882,0.051862595574851095,0.058442867853996085,0.03502556641956607,0.01116466076723386,0.004062353566108629,0.010248803021386265,0.0043379837605953065,0.14293343588542032,0.05629106701096742,8.143623461250938,3.7398870461795446,0.01075,0.005262828937088173
3,1,20,0.04170577311158806,0.018828997504310257,0.1410209697898158,0.054784792297733954,0.12511731933476417,0.05648699251293076,0.007859822342019198,0.004120431521351388,0.007859641243703664,0.005386595491438036,0.12291253851192474,0.045191394537388616,6.157924214515148,2.913258895889861,0.015625,0.0093848632326069
