scenario,node,method,mismatch,num_runs,num_controller_seeds,mae_mean,mae_std,rmse_mean,rmse_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,1,1,0.039891310170597105,0.0,0.1758914884532418,0.0,2.9156145490246054e-07,0.0,1.1920928955078125e-07,0.0,0.11359332815652486,0.0,0.0,0.0,,,,
mismatch,2,LQR,2.0,1,1,0.16447942878304672,0.0,0.2807124474423188,0.0,0.3726515380412708,0.0,0.06458660215139389,0.0,6.596449297039782,0.0,0.0125,0.0,,,,
mismatch,2,Linear,0.0,1,1,2.8278715977149513,0.0,3.7037603925355964,0.0,9.835914250325274,0.0,12.580335021018982,0.0,44.625477757655716,0.0,0.0,0.0,,,,
mismatch,2,Linear,2.0,1,1,2.9348543072653532,0.0,3.8441914925585143,0.0,8.106231827794769,0.0,7.643933951854706,0.0,54.10926932479754,0.0,0.0,0.0,,,,
mismatch,2,PPO,0.0,3,3,0.04720243154307552,0.0034322540671531225,0.16786974397926216,0.0003742689351657182,0.037126995741922415,0.012547897442949905,0.015735546747843426,0.009498840937269895,4.519187406664919,1.8745352950901697,0.008333333333333333,0.002886751345948129,,,,
mismatch,2,PPO,2.0,3,3,0.10107538956698742,0.008633551668734793,0.24129008546635702,0.0014990453798265195,0.10657886369345487,0.02481664470756781,0.035616656144460045,0.007164704538169896,12.501575668364454,1.3409891277265735,0.03,0.005000000000000001,,,,
mismatch,2,SMC,0.0,1,1,0.045947361044126625,0.0,0.18083208990790045,0.0,1.0714636264759817e-06,0.0,2.384185791015625e-07,0.0,0.5746832625002044,0.0,0.0,0.0,,,,
mismatch,2,SMC,2.0,1,1,0.1373566811600838,0.0,0.26055696071721596,0.0,0.21720903247226903,0.0,0.036580467596650124,0.0,9.002263142290781,0.0,0.0225,0.0,,,,
mismatch,3,LQR,0.0,1,1,0.03367172317472553,0.0,0.14910792496120948,0.0,2.7512763569384443e-06,0.0,5.960464477539062e-07,0.0,0.24580829794185188,0.0,0.0,0.0,,,,
mismatch,3,LQR,2.0,1,1,0.08613664722372023,0.0,0.12317202573191828,0.0,0.15735894190952365,0.0,0.07257950119674206,0.0,3.7080507685736195,0.0,0.0,0.0,,,,
mismatch,3,Linear,0.0,1,1,0.021983703159524325,0.0,0.12015840320695287,0.0,3.5415897950714015e-06,0.0,5.960464477539062e-07,0.0,1.7570844704096584,0.0,0.0025,0.0,,,,
mismatch,3,Linear,2.0,1,1,0.08971632397729758,0.0,0.13626980403569394,0.0,0.16950894265585106,0.0,0.08782175183296204,0.0,3.995204443868703,0.0,0.0075,0.0,,,,
mismatch,3,PPO,0.0,3,3,0.021525283669304524,0.0007897372870520629,0.11501831857949506,0.0007238357786146688,0.00986302300804743,0.0056276247656977954,0.01505213975906372,0.011449789478027144,6.06548025876882,0.7373189954363765,0.016666666666666666,0.002886751345948129,,,,
mismatch,3,PPO,2.0,3,3,0.08294179622069968,0.0028904941525124597,0.12129230615471433,0.008941314884748426,0.13309172731862542,0.0069804247450563255,0.06258534950514634,0.011124323826543927,5.877057386930919,0.5296816333949191,0.015833333333333335,0.0014433756729740658,,,,
mismatch,3,SMC,0.0,1,1,0.04380632101202806,0.0,0.14993154000149925,0.0,1.413968426209909e-05,0.0,7.748603820800781e-07,0.0,1.3999558457941785,0.0,0.0025,0.0,,,,
mismatch,3,SMC,2.0,1,1,0.11903259020023116,0.0,0.14794581273533947,0.0,0.3797936770651076,0.0,0.17099562659859657,0.0,6.1589773312864065,0.0,0.0175,0.0,,,,
pulse,2,LQR,0.0,1,1,0.4497768556896956,0.0,1.028457961652213,0.0,0.10600737859437495,0.0,0.005836308002471924,0.0,6.0311464180365295,0.0,0.01,0.0,15.000048637390137,0.0,2.453201316334122,0.0
pulse,2,Linear,0.0,1,1,2.06684331601162,0.0,2.863017512758977,0.0,5.120797063833401,0.0,11.279177188873291,0.0,46.87483281982003,0.0,0.0375,0.0,17.51880407333374,0.0,5.543211854530952,0.0
pulse,2,PPO,0.0,3,3,0.3873392991740597,0.024271916479249204,0.9435725042593682,0.01764609618672396,0.09350186715155472,0.032490364473107984,0.06127544244130453,0.023781798741436756,11.889299015493705,1.2505387773363947,0.023333333333333334,0.002886751345948129,15.000275135040283,0.006607419424774918,2.066899699279436,0.13965242746096587
pulse,2,SMC,0.0,1,1,0.49215618097505914,0.0,1.071876957293067,0.0,0.1592440596425239,0.0,0.012399137020111084,0.0,8.868784503642862,0.0,0.02,0.0,15.000078678131104,0.0,2.67064718377605,0.0
pulse,3,LQR,0.0,1,1,0.31423599850223805,0.0,0.8108263322410907,0.0,0.060440079113583504,0.0,0.004571199417114258,0.0,5.111250390332101,0.0,0.01,0.0,14.999873161315918,0.0,1.6792260504035808,0.0
pulse,3,Linear,0.0,1,1,0.23191426334328213,0.0,0.7585567573160028,0.0,0.02361347379139912,0.0,0.004135847091674805,0.0,14.70131740721104,0.0,0.04,0.0,14.999812602996826,0.0,1.256507880791132,0.0
