model_name,train_seed,node,method,test_seed,scenario,mismatch,pulse_step,reaching_gain,boundary_width,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
lqr_node2,-1,2,LQR,100,mismatch,0.0,-1,,,0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0,,
smc_node2,-1,2,SMC,100,mismatch,0.0,-1,2.0,0.2,0.04627141060281687,0.1814274511064028,0.13881423180845062,1.288001873978862e-06,1.1920928955078125e-07,0.01930650069053008,0.14921190351838579,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,mismatch,0.0,-1,,,0.04378619647707948,0.1680489185362422,0.13135858943123843,0.02279623132199049,0.005300581455230713,0.09321030374254075,5.064832514353172,0.01,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,mismatch,0.0,-1,,,0.050650483402961605,0.16812074383269043,0.15195145020888481,0.04614214107026288,0.023879051208496094,0.06317512040720913,2.4323675719847113,0.005,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,mismatch,0.0,-1,,,0.04717061474918545,0.16743956956885384,0.14151184424755636,0.04244261483351389,0.018027007579803467,0.134648198024962,6.060362133656874,0.01,,
lqr_node2,-1,2,LQR,101,mismatch,0.0,-1,,,0.019031788669476257,0.07043030734396469,0.057095366008428766,1.8338431362752562e-07,1.6205012798309326e-07,0.02431365363685615,0.515950011658273,0.0,,
smc_node2,-1,2,SMC,101,mismatch,0.0,-1,2.0,0.2,0.018670354293322953,0.06848923214058698,0.05601106287996886,3.148905105061001e-07,4.563480615615845e-08,0.025567705032027793,0.791326868939672,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,101,mismatch,0.0,-1,,,0.02628094951505289,0.06585878389907285,0.07884284854515866,0.02203976596924074,0.010785222053527832,0.0707183264363139,4.134022601471453,0.01,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,101,mismatch,0.0,-1,,,0.03282688400094225,0.0697211358659647,0.09848065200282674,0.03903071820896901,0.03838684782385826,0.05406129140954957,2.5878731819503504,0.0075,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,101,mismatch,0.0,-1,,,0.03029949236643777,0.06938099040036966,0.09089847709931331,0.025880837479583276,0.009122590534389019,0.08289870878035885,2.986175819662868,0.0075,,
lqr_node3,-1,3,LQR,100,mismatch,0.0,-1,,,0.03367172317472553,0.14910792496120948,0.1010151695241766,2.7512763569384443e-06,5.960464477539062e-07,0.03009444950940024,0.24580829794185188,0.0,,
smc_node3,-1,3,SMC,100,mismatch,0.0,-1,2.0,0.2,0.04579888287844974,0.1567397636880769,0.13739664863534923,1.486942723945335e-05,7.748603820800781e-07,0.038887963485089556,0.4852333430442268,0.0,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,mismatch,0.0,-1,,,0.021055429932914507,0.11487763825505727,0.06316628979874352,0.0074458162840685726,0.003931820392608643,0.09813068359347056,6.029509163254093,0.015,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,mismatch,0.0,-1,,,0.022437051052215228,0.11580216768989873,0.0673111531566457,0.0162954175453863,0.02680516242980957,0.10512226755310436,6.8201264212239625,0.02,,
