method,time,message,sent_signal,recovered_message,recovery_error,x1,y1
PPO,0.0,0.0,-0.6421303749084473,-0.3831314146518707,-0.3831314146518707,-0.6421303749084473,-0.25899896025657654
PPO,0.05,0.02486898936331272,-0.5030237436294556,-0.10015463829040527,-0.12502363324165344,-0.5278927087783813,-0.4028691053390503
PPO,0.1,0.04817536845803261,-0.36007606983184814,0.13378480076789856,0.08560943603515625,-0.40825143456459045,-0.4938608705997467
PPO,0.15000000000000002,0.06845471262931824,-0.21654784679412842,0.3113953471183777,0.24294063448905945,-0.28500255942344666,-0.5279431939125061
PPO,0.2,0.08443279564380646,-0.0755973756313324,0.4247671067714691,0.34033429622650146,-0.16003017127513885,-0.5003644824028015
PPO,0.25,0.09510564804077148,0.05999527871608734,0.4688671827316284,0.37376153469085693,-0.03511036932468414,-0.40887191891670227
PPO,0.30000000000000004,0.09980267286300659,0.18805822730064392,0.4463838040828705,0.3465811312198639,0.08825554698705673,-0.25832557678222656
PPO,0.35000000000000003,0.09822872281074524,0.30716389417648315,0.3998944163322449,0.30166569352149963,0.20893517136573792,-0.09273050725460052
PPO,0.4,0.09048270434141159,0.4166586697101593,0.3618498146533966,0.2713671028614044,0.3261759579181671,0.0548088476061821
PPO,0.45,0.0770513266324997,0.5166047811508179,0.32769662141799927,0.2506452798843384,0.43955346941947937,0.1889081597328186
PPO,0.5,0.05877852439880371,0.6076688170433044,0.2950747311115265,0.23629620671272278,0.5488902926445007,0.31259408593177795
PPO,0.55,0.03681245446205139,0.6909860372543335,0.2629271447658539,0.2261146903038025,0.6541736125946045,0.4280588924884796
PPO,0.6000000000000001,0.012533322907984257,0.7680202722549438,0.2311733365058899,0.2186400145292282,0.7554869651794434,0.536846935749054
PPO,0.65,-0.012533322907984257,0.840427815914154,0.20036137104034424,0.21289469301700592,0.8529611229896545,0.6400664448738098
PPO,0.7000000000000001,-0.03681245446205139,0.9099298715591431,0.17141103744506836,0.20822349190711975,0.9467422962188721,0.7385188341140747
PPO,0.75,-0.05877852439880371,0.9781949520111084,0.14540636539459229,0.204184889793396,1.036973476409912,0.8327885866165161
PPO,0.8,-0.0770513266324997,1.0467338562011719,0.12343031167984009,0.20048163831233978,1.123785138130188,0.9233035445213318
PPO,0.8500000000000001,-0.09048270434141159,1.1168084144592285,0.10643219947814941,0.1969149112701416,1.2072911262512207,1.010376214981079
PPO,0.9,-0.09822872281074524,1.1893601417541504,0.09512603282928467,0.1933547556400299,1.2875888347625732,1.0942341089248657
PPO,0.9500000000000001,-0.09980267286300659,1.264958143234253,0.08991670608520508,0.18971937894821167,1.3647607564926147,1.1750414371490479
PPO,1.0,-0.09510564804077148,1.3437705039978027,0.09085536003112793,0.18596100807189941,1.4388761520385742,1.2529151439666748
PPO,1.05,-0.08443279564380646,1.4255609512329102,0.09762263298034668,0.18205542862415314,1.5099937915802002,1.3279383182525635
PPO,1.1,-0.06845471262931824,1.5097099542617798,0.10954093933105469,0.17799565196037292,1.5781646966934204,1.400169014930725
PPO,1.1500000000000001,-0.04817536845803261,1.5952578783035278,0.12560999393463135,0.17378535866737366,1.6434332132339478,1.4696478843688965
PPO,1.2000000000000002,-0.02486898936331272,1.680970549583435,0.14456772804260254,0.1694367229938507,1.7058395147323608,1.5364028215408325
PPO,1.25,-2.4492935397342132e-17,1.765420913696289,0.16496634483337402,0.16496634483337402,1.765420913696289,1.600454568862915
PPO,1.3,0.02486898936331272,1.8470814228057861,0.1852630376815796,0.16039404273033142,1.8222124576568604,1.6618183851242065
PPO,1.35,0.04817536845803261,1.924423098564148,0.20391607284545898,0.15574070811271667,1.876247763633728,1.720507025718689
PPO,1.4000000000000001,0.06845471262931824,1.9960145950317383,0.219482421875,0.15102770924568176,1.9275598526000977,1.7765321731567383
PPO,1.4500000000000002,0.08443279564380646,2.0606141090393066,0.23070859909057617,0.14627580344676971,1.9761813879013062,1.8299055099487305
PPO,1.5,0.09510564804077148,2.1172499656677246,0.236611008644104,0.14150536060333252,2.022144317626953,1.8806389570236206
PPO,1.55,0.09980267286300659,2.165282964706421,0.23653733730316162,0.13673466444015503,2.0654802322387695,1.9287456274032593
PPO,1.6,0.09822872281074524,2.2044496536254883,0.23020994663238525,0.13198122382164001,2.1062209606170654,1.974239706993103
PPO,1.6500000000000001,0.09048270434141159,2.234879970550537,0.2177433967590332,0.12726068496704102,2.144397258758545,2.017136573791504
PPO,1.7000000000000002,0.0770513266324997,2.2570905685424805,0.19963884353637695,0.12258751690387726,2.180039167404175,2.0574517250061035
PPO,1.75,0.05877852439880371,2.27195405960083,0.17675137519836426,0.11797285079956055,2.2131755352020264,2.095202684402466
PPO,1.8,0.03681245446205139,2.2806472778320312,0.15024161338806152,0.11342915892601013,2.2438347339630127,2.1304056644439697
