#{"t_start": 1788916924.77325, "env_id": "None"}
r,l,t
-179.3948,400,3.826804
-256.205188,400,4.986241
-138.65923,400,6.165179
-107.863561,400,7.307415
-108.447397,400,8.003101
-91.949992,400,9.067493
-65.614346,400,10.346295
-46.004767,400,11.416711
-41.741632,400,12.252547
-42.145696,400,12.999472
-36.076408,400,14.070192
-34.164347,400,15.162255
-30.668776,400,16.470162
-22.629942,400,17.249351
-23.276821,400,18.249434
-21.03121,400,19.26812
-16.294434,400,20.496342
-20.478372,400,21.803597
-16.107896,400,22.616216
-12.364183,400,23.716581
-15.305969,400,24.917428
-15.650498,400,26.065726
-16.105717,400,26.960637
-10.573974,400,28.217258
-10.58365,400,29.387589
-13.77316,400,30.511642
-7.739424,400,31.668837
-9.84433,400,32.368567
-10.918195,400,33.636855
-13.211884,400,34.832134
-19.155219,400,35.904728
-12.828968,400,36.785767
-10.488342,400,37.859063
-12.824126,400,38.994869
-14.798568,400,40.087172
-7.308962,400,41.313094
-9.268076,400,41.969217
-12.269651,400,43.110123
-7.434792,400,44.211861
-7.446395,400,45.385508
-8.294164,400,46.62776
-10.886441,400,47.295759
-10.343966,400,48.475002
-10.635046,400,49.511174
-10.847604,400,50.651145
-10.02368,400,51.342967
-10.028674,400,52.458555
-6.738781,400,53.350216
-8.621634,400,54.502338
-12.297829,400,55.670341
-10.402257,400,56.377833
-10.437822,400,57.485297
-8.353961,400,58.677113
-7.518808,400,59.91913
-9.817121,400,60.597241
-8.321341,400,61.600601
-8.034865,400,62.679322
-12.567077,400,63.678905
-7.889928,400,64.871567
-11.484413,400,65.615197
-11.715241,400,66.855655
-11.472743,400,67.957211
-7.00248,400,69.220813
-11.891161,400,69.996679
-8.582616,400,71.099751
-7.998141,400,72.190818
-9.935567,400,73.256697
-7.860536,400,74.409688
-11.740439,400,75.193582
-8.208956,400,76.386976
-6.926312,400,77.639279
-10.093813,400,78.904931
-8.466718,400,80.181671
-13.976022,400,80.981962
-10.224888,400,82.1794
-8.162132,400,83.467672
-11.693243,400,84.721158
-8.52855,400,85.591898
-7.399188,400,86.88611
-8.348996,400,88.176713
-10.841824,400,89.443254
-9.90666,400,90.770919
-9.678606,400,91.603954
-15.520741,400,92.696437
-9.002636,400,94.007916
-8.741716,400,95.189956
-8.138183,400,95.930002
-11.101766,400,97.108227
-9.606244,400,98.324259
-9.133485,400,99.569983
-11.538466,400,100.588482
-8.151172,400,101.335035
