#{"t_start": 1788916924.775645, "env_id": "None"}
r,l,t
-219.804595,400,3.614733
-155.221501,400,4.784595
-180.872196,400,6.007923
-133.284786,400,7.076835
-125.009351,400,7.818747
-84.667394,400,8.94358
-85.079762,400,10.076929
-57.03366,400,11.096771
-55.711335,400,12.193962
-34.861958,400,13.005878
-42.027095,400,14.075616
-38.868785,400,15.335668
-34.912038,400,16.504105
-19.519524,400,17.248916
-23.283069,400,18.268142
-17.685474,400,19.353018
-20.190005,400,20.465955
-12.195497,400,21.368263
-15.874008,400,22.142392
-19.684218,400,23.328104
-15.717457,400,24.4184
-13.68231,400,25.654999
-12.991996,400,26.378969
-22.764447,400,27.445658
-13.4979,400,28.649071
-13.171469,400,29.936447
-16.667799,400,31.17517
-10.531673,400,31.936281
-12.738512,400,32.955085
-9.060258,400,34.000117
-15.565467,400,35.027472
-10.629011,400,35.813406
-9.523873,400,36.923265
-15.500659,400,38.107272
-11.543572,400,39.373389
-13.691844,400,40.614348
-8.143635,400,41.351407
-12.351069,400,42.59565
-10.138515,400,43.81346
-16.063908,400,44.852738
-18.453764,400,46.070855
-9.56576,400,46.859778
-17.301754,400,48.057542
-15.442767,400,49.120625
-17.282605,400,50.265515
-19.460265,400,50.973646
-9.409628,400,52.054899
-7.82977,400,53.180951
-9.397965,400,54.379314
-8.518922,400,55.522131
-7.700326,400,56.304645
-13.977128,400,57.356695
-16.180264,400,58.581997
-12.601823,400,59.826634
-13.450028,400,60.658126
-17.225342,400,61.820952
-12.443308,400,62.855373
-9.118283,400,63.825197
-12.719506,400,64.942238
-15.083401,400,65.695096
-14.293809,400,66.753276
-11.199765,400,67.832042
-8.309194,400,68.92197
-9.490844,400,69.670355
-17.042277,400,70.83717
-9.34703,400,71.792112
-13.134478,400,73.010108
-8.642153,400,74.227074
-10.48159,400,75.031361
-8.263898,400,76.16699
-8.676089,400,77.415182
-14.189124,400,78.611317
-8.949104,400,79.911605
-13.774223,400,80.764545
-7.618773,400,82.046525
-10.459431,400,83.320393
-14.742872,400,84.588646
-12.913299,400,85.427483
-15.845126,400,86.720356
-9.743728,400,87.943349
-11.101269,400,89.148733
-13.697054,400,90.377594
-8.082536,400,91.228963
-9.064969,400,92.470478
-13.84105,400,93.777365
-7.68258,400,94.939583
-10.082624,400,95.71999
-11.813127,400,96.880757
-10.371399,400,98.013121
-17.975642,400,99.21758
-11.644219,400,100.45979
-8.689802,400,101.28903
-10.937361,400,102.566882
-8.153361,400,103.653107
-9.556062,400,104.896639
-6.584726,400,105.718981
-9.912697,400,106.878963
-10.799538,400,108.056963
-8.111125,400,109.199004
-15.407362,400,110.496472
-9.022018,400,111.293
-7.702104,400,112.511944
-7.842249,400,113.692997
-8.210893,400,114.920511
-12.47887,400,116.127217
-8.166645,400,116.935196
-13.394372,400,118.176327
-9.778361,400,119.397091
-6.655456,400,120.689334
-11.828954,400,121.516099
-13.042041,400,122.700525
-7.348973,400,123.867236
-7.579789,400,125.093898
-8.680681,400,126.333304
-15.615185,400,127.161598
-6.329158,400,128.422751
-14.817003,400,129.659781
-7.091145,400,130.921578
-14.040062,400,131.743897
-9.530838,400,133.0459
-12.779136,400,134.337483
-11.39997,400,135.518546
-12.388102,400,136.723749
-16.393891,400,137.614255
-10.593737,400,138.844168
-9.44129,400,140.063551
-14.528468,400,141.392175
-18.513344,400,142.237013
-8.395764,400,143.537103
-12.162559,400,144.848598
-14.286107,400,146.18221
-13.260579,400,147.389094
-18.772433,400,148.170896
-7.512088,400,149.361129
-10.136314,400,150.645827
-10.853103,400,151.935076
-12.01401,400,153.178924
-13.99081,400,153.981799
-9.292845,400,155.166054
-16.690441,400,156.364309
-10.136707,400,157.555219
-11.614686,400,158.425323
-6.989436,400,159.573222
-7.549363,400,160.77635
-12.676065,400,162.042347
-16.610964,400,163.348403
-12.434991,400,164.141531
-9.035381,400,165.384482
-7.596411,400,166.621642
-10.412011,400,167.855387
-7.139027,400,168.656223
-10.392766,400,169.871513
-9.054897,400,170.956993
-11.842225,400,172.14052
-9.054905,400,173.368522
-7.754869,400,174.26303
-11.19575,400,175.476756
-7.044232,400,176.664818
-9.128961,400,177.881783
-6.374869,400,178.753647
-9.658125,400,179.977882
-9.852043,400,181.20961
-9.969153,400,182.491614
-7.95763,400,183.749693
-13.299944,400,184.599229
-11.678412,400,185.842775
-11.941304,400,187.081084
-10.140002,400,188.286915
-10.104158,400,189.471469
-7.923764,400,190.329972
-14.20632,400,191.486827
-7.104141,400,192.682264
-12.636154,400,193.913786
-7.649537,400,194.745056
-15.168707,400,195.955616
-11.253059,400,197.171414
-8.167346,400,198.3899
-9.549832,400,199.577231
-17.146001,400,200.424631
-11.807538,400,201.635227
-16.445165,400,202.847876
-9.482277,400,204.051336
-8.177335,400,204.808182
-6.563129,400,206.0235
-6.304181,400,207.211575
-10.001611,400,208.474415
-13.659564,400,209.690034
-10.539309,400,210.493708
