#{"t_start": 1788916924.7708423, "env_id": "None"}
r,l,t
-244.197655,400,3.818777
-216.937341,400,4.879779
-168.276976,400,5.977631
-249.420011,400,7.043211
-150.323979,400,7.820582
-153.448496,400,8.894583
-152.189204,400,10.021855
-171.357551,400,11.114882
-205.369235,400,12.210844
-160.738944,400,12.886504
-190.958107,400,13.881977
-236.125265,400,15.061577
-107.281229,400,16.191665
-140.479023,400,16.959435
-174.169392,400,18.149504
-151.999609,400,19.294834
-143.116345,400,20.469782
-105.258986,400,21.57016
-106.005493,400,22.17662
-101.662171,400,23.167017
-92.040628,400,24.355097
-78.316334,400,25.493972
-83.142245,400,26.188691
-69.400521,400,27.285926
-84.429056,400,28.463869
-53.423249,400,29.65236
-46.648089,400,30.885911
-42.554097,400,31.739512
-43.571632,400,32.873106
-46.575275,400,33.875915
-39.222626,400,34.951025
-34.382608,400,35.801022
-40.984006,400,36.951112
-30.699529,400,38.118925
-30.525992,400,39.179198
-40.305047,400,40.238184
-46.250928,400,40.914576
-20.045666,400,42.191016
-26.204281,400,43.342462
-25.134121,400,44.466332
-26.796655,400,45.801051
-25.45244,400,46.625285
-17.974847,400,47.797404
-25.886272,400,48.980236
-25.000277,400,50.24822
-13.343789,400,50.930586
-29.167833,400,51.956399
-11.560744,400,53.1936
-14.752122,400,54.348855
-29.973376,400,55.560746
-17.198987,400,56.410532
-36.746449,400,57.494577
-20.861315,400,58.667224
-11.91246,400,59.872709
-16.069824,400,60.675861
-13.585598,400,61.840318
-15.87896,400,63.120856
-14.769925,400,64.239077
-12.894303,400,65.507004
-10.749424,400,66.318835
-19.403501,400,67.368871
-15.622584,400,68.454254
-14.110654,400,69.564095
-13.551473,400,70.420866
-15.806924,400,71.486859
-13.016907,400,72.700679
-14.604928,400,73.935915
-16.73316,400,75.005124
-17.873685,400,75.854097
-29.172157,400,77.1121
-13.7857,400,78.398267
-16.861414,400,79.680924
-13.739903,400,80.952317
-11.521008,400,81.735502
-19.448094,400,82.986523
-21.484763,400,84.174488
-10.187911,400,85.434824
-14.26936,400,86.264326
-29.612467,400,87.399137
-14.142076,400,88.598535
-12.75185,400,89.746376
-23.493691,400,90.887377
-12.062234,400,91.666393
-28.115913,400,92.595609
-16.403615,400,93.664524
-19.271553,400,94.804676
-32.91545,400,95.502791
-10.919956,400,96.618629
-10.481266,400,97.80142
-9.038097,400,99.09677
-12.540714,400,100.261748
-8.852933,400,100.929663
-45.732206,400,102.105585
-18.940463,400,103.260652
-9.263918,400,104.522761
-10.583996,400,105.359678
-18.07994,400,106.713911
-12.578616,400,107.963716
-8.400766,400,109.187109
-7.291545,400,110.281278
-7.115808,400,110.974856
-8.439274,400,112.241098
-12.363542,400,113.507821
-8.915833,400,114.705045
-10.263313,400,115.8672
-8.306406,400,116.708166
-22.080315,400,117.919966
-9.196909,400,119.225183
-8.413954,400,120.437298
-11.716695,400,121.267093
-30.677748,400,122.611305
-47.267829,400,123.831109
-22.27286,400,125.01734
-22.601275,400,126.202743
-13.502074,400,127.051949
-13.186562,400,128.228402
-9.06147,400,129.50732
-32.536026,400,130.751064
-12.121847,400,131.609659
-9.270537,400,132.881239
-8.188022,400,134.12467
-7.248209,400,135.415759
-22.142735,400,136.669615
-13.049325,400,137.394445
-7.147533,400,138.538378
-7.965866,400,139.830003
-13.187443,400,141.022358
-16.767471,400,141.854751
-8.236891,400,143.142743
-18.251882,400,144.469564
-37.531927,400,145.766923
-10.80322,400,147.036055
-8.574075,400,147.79081
-12.161601,400,148.970522
-5.983111,400,150.168078
-23.806954,400,151.315156
-6.519935,400,152.579974
-23.355724,400,153.441952
-7.390271,400,154.583342
-24.196086,400,155.829822
-5.435779,400,157.078763
-11.465474,400,157.874874
-8.112677,400,159.06514
-7.503031,400,160.293129
-8.784435,400,161.559885
-9.988492,400,162.756196
-9.984927,400,163.521751
-6.878024,400,164.805434
-6.663415,400,166.006188
-10.631084,400,167.189369
-7.527714,400,168.018512
-7.074064,400,169.172971
-12.199028,400,170.444497
-9.8323,400,171.76542
-34.900695,400,172.985285
-7.632541,400,173.716445
-10.190644,400,174.94124
-12.603553,400,176.166529
-8.573455,400,177.399238
-28.170593,400,178.159459
-9.474497,400,179.215512
