method,num_seeds,continuous_mae_mean,direct_key_word_disagreement_mean,legacy_key_word_disagreement_mean,recovered_image_mae_mean,exact_recovery_rate
PPO,20,0.03184606635900309,0.0419921875,0.025,9.007568359375,0.9
Fixed,20,0.0428153093163625,0.0431640625,0.025,9.007568359375,0.9
LQR,20,0.05537663928538071,0.0666015625,0.0625,21.626497395833333,0.75
SMC,20,0.07568323172138966,0.09375,0.0875,22.835970052083333,0.75
