model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
zero_input,-1,2,Zero Input,11,0.0,-1,0.8897294727984757,1.1745028736013858,2.6691884183954273,2.0426599200309057,3.9529396295547485,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,12,0.0,-1,2.1964573344991467,3.2989577242774146,6.58937200349744,8.700509481040047,8.251370146870613,1.2334761877829892,44.393921473462555,0.0075
lqr_node2_q1_r1,-1,2,LQR,12,0.0,-1,0.016688629407520816,0.07468988873992916,0.050065888222562444,1.4067570000518988e-07,0.0,0.07474332773329496,4.096216451250147,0.0075
zero_input,-1,2,Zero Input,12,0.0,-1,1.2760420025125803,1.6774159577858114,3.828126007537741,3.474922055079613,0.9374866485595703,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,13,0.0,-1,2.472890335976681,3.366320992479338,7.418671007930043,5.606670889037627,9.197865903377533,1.4844027672919846,54.047379159559995,0.0125
lqr_node2_q1_r1,-1,2,LQR,13,0.0,-1,0.1574320461206581,0.45372274559670417,0.47229613836197426,8.75673176329813e-08,0.0,0.15300518262451002,7.381679272613386,0.015
zero_input,-1,2,Zero Input,13,0.0,-1,1.3459963866494788,1.9755051654170053,4.037989159948436,2.189617578998024,1.162385642528534,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,14,0.0,-1,2.8936749940965685,3.8192394538414893,8.681024982289706,10.568951380105666,8.565612360835075,1.52750151792072,53.48314030365465,0.0025
lqr_node2_q1_r1,-1,2,LQR,14,0.0,-1,0.029683794334866818,0.10172240874849685,0.08905138300460046,5.739706533926504e-08,0.0,0.06284280921291482,2.500482763159382,0.0
zero_input,-1,2,Zero Input,14,0.0,-1,1.289125361759293,1.8963893147518611,3.867376085277879,3.5578150356441367,2.8292636573314667,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,15,0.0,-1,1.990132635324599,2.941137252289032,5.970397905973797,8.44765213886161,8.37852855026722,1.198662729111693,40.08169930603763,0.0
lqr_node2_q1_r1,-1,2,LQR,15,0.0,-1,0.027057833794244285,0.10900454110518251,0.08117350138273285,0.0,0.0,0.03414061520602093,0.44525838172635357,0.0
zero_input,-1,2,Zero Input,15,0.0,-1,0.6209689738462716,0.8391720499480968,1.8629069215388145,1.7660864974245614,0.4410235583782196,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,16,0.0,-1,2.692348710139741,3.725894317079104,8.077046130419223,10.609826182325682,9.125523895025253,1.4381928216489472,49.908846229360634,0.0
lqr_node2_q1_r1,-1,2,LQR,16,0.0,-1,0.017167180454881407,0.04813063528606165,0.05150154136464422,0.0,0.0,0.033368135138420206,0.7946260442074684,0.0
zero_input,-1,2,Zero Input,16,0.0,-1,0.7431017427658004,1.1456179121778913,2.229305228297401,1.3024493199025775,0.724141463637352,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,17,0.0,-1,3.027856125854767,4.016375357278012,9.083568377564301,7.921305047049199,8.211477056145668,1.6082432862380496,60.2345813732866,0.0
lqr_node2_q1_r1,-1,2,LQR,17,0.0,-1,0.03489680114474708,0.13623591529015813,0.10469040343424124,0.0,0.0,0.061887417314422405,1.3890920536923221,0.0
zero_input,-1,2,Zero Input,17,0.0,-1,0.3576422545273888,0.5178616616208962,1.0729267635821664,0.9134973436823965,1.1355339139699936,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,18,0.0,-1,2.8785557587099193,3.8392209470420138,8.635667276129759,7.786895686277637,8.041343629360199,1.5398700308621376,56.37422869244828,0.0025
lqr_node2_q1_r1,-1,2,LQR,18,0.0,-1,0.0294531413142245,0.1216444046980006,0.0883594239426735,3.251379332792612e-07,1.1175870895385742e-08,0.03030518996559097,0.3462079136648393,0.0
zero_input,-1,2,Zero Input,18,0.0,-1,0.2785471872846942,0.3852495421278098,0.8356415618540826,0.8619917751531359,0.46143777668476105,0.0,0.0,0.0
