model,model_sha256,node,evaluation_seed,state_guard_hits,max_abs_substep_state,reproduced_residual,absolute_residual_difference
ppo_continuous_hopfield_node2_final_seed_42.zip,23a5ff3fe1170dbb55ad0f821e60b22b771e9a700f1ef82f61b8a8790c6dc877,2,9,0,3.1285476684570312,0.025610513005338266,0.0
ppo_continuous_hopfield_node2_final_seed_42.zip,23a5ff3fe1170dbb55ad0f821e60b22b771e9a700f1ef82f61b8a8790c6dc877,2,10,0,3.5532240867614746,0.025939619251056634,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,1,0,3.9133565425872803,0.005147182794539013,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,2,0,3.6309494972229004,0.005036490213334266,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,3,0,3.774986982345581,0.004896047409565654,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,4,0,3.219815492630005,0.005045882271124834,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,5,0,3.6295344829559326,0.005555148336203083,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,6,0,2.9770448207855225,0.005961940964426551,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,7,0,3.278646945953369,0.005666582909700657,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,8,0,3.8510332107543945,0.004959910867006616,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,9,0,3.099496603012085,0.004771827447019811,0.0
ppo_continuous_hopfield_node3_final_seed_1024.zip,ac89a20c027fac2da65efcb1395542423142fd6ed89a6da6fb1c3e8632878cf4,3,10,0,3.5532240867614746,0.004862591195177581,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,1,0,3.9133565425872803,0.010845981887388534,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,2,0,3.6309494972229004,0.010431013122219347,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,3,0,3.774986982345581,0.0106848291194336,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,4,0,3.1690611839294434,0.011405768673376818,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,5,0,3.6295344829559326,0.011998547050017423,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,6,0,2.98837947845459,0.012025635860596882,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,7,0,3.278646945953369,0.011091331349973763,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,8,0,3.85555362701416,0.011099216203407482,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,9,0,3.099496603012085,0.011168646998090767,0.0
ppo_continuous_hopfield_node3_final_seed_123.zip,77278897d6511369b3fedbcbe78afedcb00c519c71238d2bade7d09a86e4df13,3,10,0,3.5571250915527344,0.010474387755997381,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,1,0,3.9133565425872803,0.0061649884184283256,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,2,0,3.6309494972229004,0.005765180602259199,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,3,0,3.774986982345581,0.0060666471621861045,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,4,0,3.1668388843536377,0.006510053622447518,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,5,0,3.6295344829559326,0.006890258282946888,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,6,0,2.983734130859375,0.007030777027064591,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,7,0,3.278646945953369,0.006382758889981472,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,8,0,3.850653648376465,0.006320533788438249,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,9,0,3.099496603012085,0.006184813197637835,0.0
ppo_continuous_hopfield_node3_final_seed_42.zip,9092e3a345459849458dc42b58c7714f104035b7325d266b5dab60b3de31b95a,3,10,0,3.5532240867614746,0.006003643941091324,0.0
