method,step,node,mcle,total_time,discarded_time
legacy_euler,0.01,1,0.6025172946089677,1000.0,50.0
legacy_euler,0.01,2,1.5719429340560316,1000.0,50.0
legacy_euler,0.01,3,-0.5885581066598218,1000.0,50.0
coupled_rk4,0.01,1,0.5982195988506738,1000.0,50.0
coupled_rk4,0.01,2,1.5853957851530796,1000.0,50.0
coupled_rk4,0.01,3,-0.5865615848728187,1000.0,50.0
coupled_rk4,0.005,1,0.5904828798779203,1000.0,50.0
coupled_rk4,0.005,2,1.5899856272391124,1000.0,50.0
coupled_rk4,0.005,3,-0.5841315692333585,1000.0,50.0
coupled_rk4,0.0025,1,0.5858447810553378,1000.0,50.0
coupled_rk4,0.0025,2,1.5891848380152356,1000.0,50.0
coupled_rk4,0.0025,3,-0.589033451865721,1000.0,50.0
