method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
PPO,1-2,2,-1,1024,100,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.03490673013980611,0.13133670517961235,0.10472019041941834,0.0418893226571841,0.02623295783996582,0.21054392527240767,7.783993805829572,0.00875
PPO,1-2,2,-1,1024,101,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.02154017906289173,0.04739909333079781,0.06462053718867519,0.05471374082988427,0.0365966372191906,0.16238651654109396,4.650081895023927,0.00625
PPO,1-2,2,-1,1024,102,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.05359461758473883,0.18862319768955063,0.1607838527542165,0.01670293604529658,0.022864222526550293,0.3026517520187204,12.770004275419288,0.01125
PPO,1-2,2,-1,1024,103,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.06250232097972262,0.16910205491002897,0.18750696293916785,0.04273646086868313,0.013908833265304565,0.28673272754560386,12.26757824930459,0.01625
PPO,1-2,2,-1,1024,104,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.16690442851200352,0.5349180910643164,0.5007132855360106,0.052375335757977065,0.07641921937465668,0.6476978747327429,37.63827474465082,0.02875
PPO,1-2,2,-1,1024,105,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.03191301739423947,0.09241376901079759,0.0957390521827184,0.04904083563819712,0.04058383218944073,0.20904933660293457,8.219269741793715,0.01125
PPO,1-2,2,-1,1024,106,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.1066692797910323,0.30956482566014865,0.3200078393730969,0.036010114602560615,0.03364138677716255,0.4878067519525043,21.78854626076407,0.02125
PPO,1-2,2,-1,1024,107,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.08865407482718589,0.2758129306931592,0.26596222448155765,0.06305241063927058,0.037725478410720825,0.4152387972094323,15.969505421462632,0.0125
PPO,1-2,2,-1,1024,108,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.020088895441575636,0.05480475851513326,0.06026668632472691,0.0528620873566395,0.07360157743096352,0.16170231904137758,6.455616498341882,0.00875
PPO,1-2,2,-1,1024,109,nominal,0.0,0.0,-1,6,4.0,0,9e29036bd9ab7873004d05c6810f1104632c16ef8b47413de2b9e5c5947a6fed,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.08399464470254613,0.2896994843716398,0.25198393410763836,0.06294286214275124,0.06474443897604942,0.4236857943849968,18.680250026870933,0.0125
