method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
PPO,1,1,1,42,100,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",1.3275515913083864,1.5351838346378346,3.982654773925159,4.9314785925326525,7.617194175720215,3.2412849836367323,252.34542721909153,0.76
PPO,1,1,1,42,101,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",1.0569726346727966,1.328359147326456,3.1709179040183897,2.170339689164618,3.4294706881046295,2.840035279176925,205.73856912616293,0.5625
PPO,1,1,1,42,102,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",1.4921010740825957,1.7257623653972258,4.476303222247787,4.513604797514868,7.022945404052734,3.6318150849785296,282.81180658090466,0.825
PPO,1,1,1,42,103,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",1.4908451836522132,1.6843786723427896,4.47253555095664,4.157738259177149,5.460057973861694,3.6629086403812554,280.8381004595992,0.79
PPO,1,1,1,42,104,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",1.5213013024805602,1.8659394292454212,4.563903907441681,2.2726842334700956,3.609485149383545,3.207503245748635,235.56728416745864,0.6675
PPO,1,1,1,42,105,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",1.127777286835405,1.3856126723507394,3.383331860506215,3.446885189984316,1.4704433977603912,3.011296919140584,213.96685372787388,0.54
PPO,1,1,1,42,106,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",1.4591388996297234,1.6986601297552772,4.377416698889171,3.2448224406459447,3.9854360818862915,3.4577375202999447,262.93924858948407,0.745
PPO,1,1,1,42,107,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",1.563846574275633,1.7193868005804989,4.6915397228268985,3.3325691414468084,5.081003665924072,3.912744790835868,309.5244301952323,0.9125
PPO,1,1,1,42,108,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",1.130973230703662,1.4222220082577044,3.3929196921109854,2.214766584382749,3.7628661394119263,3.0337772402642966,214.51856971721728,0.53
PPO,1,1,1,42,109,nominal,0.0,0.0,-1,6,4.0,0,bc88b8d27a8ab4d3095852716f3f97f0621b64b7566a337f3513a9d7e92b1341,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",1.2205541978527483,1.4547355584783939,3.661662593558245,4.600170166864071,2.516105204820633,3.247867278085831,243.22160417762117,0.6425
