model,node,training_seed,tube_radius,sample_count,lambda_max_worst,lambda_max_p99,lambda_max_p95,lambda_max_median,fraction_strictly_negative,sampled_condition_passed,sampled_alpha,continuous_spectral_abscissa_worst,fraction_continuous_jacobian_hurwitz,step_sigma_max_worst,step_sigma_max_p99,fraction_step_euclidean_contractive,step_spectral_radius_worst,fraction_step_locally_schur,action_abs_max,action_abs_p95,action_abs_median,raw_action_abs_max,fraction_action_saturated,du_de_norm_max,du_de_norm_p95
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,0.0,500,18.513519455126534,18.43269127407317,18.273561059523054,17.377221547336113,0.0,False,nan,-0.5417818003616424,1.0,2.992149591445923,2.985792875289917,0.0,0.9735746383666992,1.0,0.7777778506278992,0.6644607782363892,0.2827068567276001,0.1944444626569748,0.0,62.06772232055664,62.02653503417969
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,0.01,4000,18.514773332038992,18.431752071085803,18.274537971642232,17.376229091930348,0.0,False,nan,-0.5223262877908603,1.0,2.992673397064209,2.9861373901367188,0.0,0.9738161563873291,1.0,1.359364628791809,0.9669311046600342,0.3662319779396057,0.33984115719795227,0.0,62.07676696777344,62.02841567993164
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,0.05,4000,18.52468529646316,18.407850522599944,18.281321933113404,17.358615932079516,0.0,False,nan,-0.44536601956136385,1.0,2.9939208030700684,2.98551344871521,0.0,0.9748653173446655,1.0,3.7981503009796143,3.081690549850464,1.5725252628326416,0.9495375752449036,0.0,62.08728790283203,62.01508712768555
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,0.1,4000,18.528774010803065,18.390489249977467,18.229542532284434,16.58846577339908,0.0,False,nan,1.1006501124694141,0.713,2.993565320968628,2.98374080657959,0.0,1.0422331094741821,0.714,4.0,4.0,3.1362991333007812,1.7078733444213867,0.35175,62.09543228149414,61.987796783447266
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,0.0,500,12.71073742458695,12.607489277280546,12.468725906335454,11.558083383232045,0.0,False,nan,-0.42501413416849276,1.0,2.133096933364868,2.126782178878784,0.0,0.9788015484809875,1.0,0.5833340883255005,0.5416563749313354,0.32785648107528687,0.14583352208137512,0.0,40.39548873901367,40.37581253051758
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,0.01,4000,12.713111973332483,12.613674421624602,12.470166222844503,11.56259369257344,0.0,False,nan,-0.40622998935300825,1.0,2.1334545612335205,2.1270899772644043,0.0,0.9791432619094849,1.0,0.961852490901947,0.7560710906982422,0.32224124670028687,0.24046312272548676,0.0,40.408172607421875,40.37741470336914
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,0.05,4000,12.716265539017597,12.60917591151895,12.469060502062762,11.55258411530465,0.0,False,nan,-0.3320956129544891,1.0,2.1327977180480957,2.1265313625335693,0.0,0.9804818034172058,1.0,2.530268669128418,2.133331298828125,1.0168975591659546,0.6325671672821045,0.0,40.41366195678711,40.38319778442383
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,0.1,4000,12.726164212878311,12.597661278862917,12.458813456726137,11.489093248820641,0.0,False,nan,0.8254088535268154,0.97,2.1323461532592773,2.125349521636963,0.0,1.0422331094741821,0.96975,4.0,3.930907964706421,2.0453219413757324,1.129168152809143,0.0405,40.413063049316406,40.3665885925293
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,0.0,500,19.57521571867103,19.49641365744886,19.38865336227435,18.470096465544906,0.0,False,nan,-0.41038108500894477,1.0,3.376631259918213,3.3730039596557617,0.0,0.9812235832214355,1.0,1.1129138469696045,0.939067006111145,0.28747618198394775,0.2782284617424011,0.0,72.0366439819336,72.01409912109375
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,0.01,4000,19.579417924520556,19.507147646634714,19.386919675143346,18.464225130137354,0.0,False,nan,-0.39304356948438396,1.0,3.376753568649292,3.373028516769409,0.0,0.9814810156822205,1.0,1.809147596359253,1.1859060525894165,0.42536184191703796,0.45228689908981323,0.0,72.03734588623047,72.01071166992188
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,0.05,4000,19.588648170811343,19.49050232867497,19.380376007717143,18.44443036110995,0.0,False,nan,0.7784868285251327,0.9885,3.3765244483947754,3.37158203125,0.0,1.0391017198562622,0.9885,4.0,3.577367067337036,1.807236671447754,1.1527791023254395,0.0135,72.03836059570312,71.9852294921875
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,0.1,4000,19.587011471483507,19.46419030906903,19.345127015946723,17.127803285182424,0.0,False,nan,1.1006501124694141,0.6335,3.375973701477051,3.369859457015991,0.0,1.0422331094741821,0.6355,4.0,4.0,3.6827759742736816,2.0229110717773438,0.44725,72.0374984741211,71.95049285888672
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,0.0,500,0.2099345718310757,0.19646815747007765,0.11058100597669424,-0.08240018727196477,0.852,False,nan,-0.30936957003104315,1.0,1.2079476118087769,1.2072054147720337,0.0,0.9846456050872803,1.0,0.2756854295730591,0.23090149462223053,0.08791278302669525,0.06892135739326477,0.0,30.437767028808594,30.423294067382812
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,0.01,4000,0.22152817742759098,0.19609263890505246,0.108312748128738,-0.08228285497419686,0.85,False,nan,-0.30931385501495345,1.0,1.20840322971344,1.2071741819381714,0.0,0.9846526980400085,1.0,0.56529301404953,0.39408257603645325,0.15907716751098633,0.1413232535123825,0.0,30.44403648376465,30.425270080566406
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,0.05,4000,0.26466262292218135,0.19596482789247704,0.10327868752886722,-0.08235887954666707,0.854,False,nan,-0.3089809621716026,1.0,1.2094883918762207,1.2073761224746704,0.0,0.9846630096435547,1.0,1.7438831329345703,1.4601224660873413,0.7440782785415649,0.4359707832336426,0.0,30.445148468017578,30.41554832458496
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,0.1,4000,0.30909672059198856,0.21555384516953202,0.1011343441312838,-0.08277399682509845,0.85875,False,nan,-0.30870853191629233,1.0,1.2107372283935547,1.2075715065002441,0.0,0.9846862554550171,1.0,3.2228329181671143,2.853705406188965,1.4801130294799805,0.8057082295417786,0.0,30.447376251220703,30.39499282836914
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,0.0,500,1.4349088822868217,1.4183180358821665,1.339115421283109,0.8681933442822687,0.0,False,nan,-0.443071702298061,1.0,1.457912564277649,1.457834005355835,0.0,0.9780715703964233,1.0,0.7615224123001099,0.6500421762466431,0.3346209228038788,0.19038060307502747,0.0,38.0438346862793,38.03058624267578
