node,mismatch,test_seed,method,continuous_mae,direct_key_word_disagreement,direct_key_bit_disagreement,legacy_key_word_disagreement,legacy_key_bit_disagreement,recovered_image_mae,recovered_image_psnr_db,exact_recovery
2,2.0,100,PPO,0.018719614447036292,0.01171875,0.00390625,0.0,0.0,0.0,361.20199909921956,True
2,2.0,100,Fixed,2.1862782613364593,0.73046875,0.3776041666666667,0.75,0.5,122.53352864583333,6.067882677495691,False
2,2.0,100,LQR,0.03215224583861224,0.01171875,0.00390625,0.0,0.0,0.0,361.20199909921956,True
2,2.0,100,SMC,0.020809146607158862,0.01171875,0.00390625,0.0,0.0,0.0,361.20199909921956,True
2,2.0,101,PPO,0.05550268926223604,0.0625,0.03515625,0.0,0.0,0.0,361.20199909921956,True
2,2.0,101,Fixed,2.0231346868610367,0.69140625,0.2981770833333333,0.75,0.6666666666666666,122.53352864583333,6.067882677495691,False
2,2.0,101,LQR,0.22491352024674902,0.234375,0.11848958333333333,0.75,0.5833333333333334,69.046875,8.408542751197704,False
2,2.0,101,SMC,0.3719767992085205,0.41796875,0.19921875,0.75,0.5833333333333334,69.046875,8.408542751197704,False
2,2.0,102,PPO,0.061330904251614506,0.06640625,0.049479166666666664,0.0,0.0,0.0,361.20199909921956,True
2,2.0,102,Fixed,3.436383704043692,0.70703125,0.3502604166666667,0.75,0.5833333333333334,91.65478515625,8.046486414439123,False
2,2.0,102,LQR,0.10472031328633118,0.09765625,0.07161458333333333,0.0,0.0,0.0,361.20199909921956,True
2,2.0,102,SMC,0.06823995923211139,0.0625,0.04296875,0.0,0.0,0.0,361.20199909921956,True
2,2.0,103,PPO,0.031579640566633316,0.01171875,0.009114583333333334,0.25,0.25,91.65478515625,8.046486414439123,False
2,2.0,103,Fixed,2.8333500461631047,0.75,0.43359375,0.75,0.3333333333333333,111.1044921875,6.094821948486523,False
2,2.0,103,LQR,0.09578152358032337,0.05078125,0.032552083333333336,0.25,0.25,91.65478515625,8.046486414439123,False
2,2.0,103,SMC,0.052305561673468524,0.01171875,0.01171875,0.0,0.0,0.0,361.20199909921956,True
2,2.0,104,PPO,0.033401936144703846,0.04296875,0.03515625,0.0,0.0,0.0,361.20199909921956,True
2,2.0,104,Fixed,1.9639431482864893,0.78515625,0.4348958333333333,0.75,0.5,111.1044921875,6.094821948486523,False
2,2.0,104,LQR,0.04036877270846162,0.03125,0.026041666666666668,0.0,0.0,0.0,361.20199909921956,True
2,2.0,104,SMC,0.036035599949779375,0.02734375,0.0234375,0.0,0.0,0.0,361.20199909921956,True
