scenario,node,method,mismatch,num_runs,mae_mean,mae_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,20,0.09069465470204849,0.07554084795221791,2.023535435674367e-07,2.5710509610809475e-07,5.043111741542816e-08,1.1778320189625107e-07,3.775851110769346,3.3230010037301754,0.006500000000000001,0.007838837185517545,,
mismatch,2,LQR,1.0,20,0.16336520572815397,0.06771884034626956,0.2168660181805917,0.11338811421413225,0.13519350891001522,0.1432264312933405,5.345948737141465,3.5731828977090676,0.009375000000000003,0.008954379992642236,,
mismatch,2,LQR,2.0,20,0.23298215126299984,0.10211199669431545,0.4357401173855006,0.26988688205765504,0.2776608735555783,0.301038505390148,5.576733804264058,3.643335064527832,0.009375000000000003,0.008954379992642236,,
mismatch,2,PPO,0.0,60,0.0929981289513692,0.07331881807286514,0.04255003026902672,0.01758397956103889,0.03469352051615715,0.03025535253320978,9.088689533636172,6.680523355985504,0.02183333333333333,0.018214044373213174,,
mismatch,2,PPO,1.0,60,0.1288883985108185,0.0687037335304086,0.10294928053042317,0.04628139095300154,0.08043205736515423,0.09688017105781525,11.359279345448508,7.112002659283669,0.02804166666666667,0.01981424151126322,,
mismatch,2,PPO,2.0,60,0.1702594470683129,0.08808097977307414,0.1966029342506349,0.07265763776050027,0.15001567126018928,0.16521651354065478,11.845567609284256,7.788156199424364,0.02854166666666667,0.020963505752767776,,
mismatch,2,SMC,0.0,20,0.10194383274876148,0.08350254047663569,3.6927174531026844e-06,3.8822364482770305e-06,4.982342943549156e-07,6.69299729421771e-07,5.1024412598063265,3.9128056557699398,0.013000000000000001,0.010594189072565355,,
mismatch,2,SMC,1.0,20,0.16737515532856975,0.06923158437804842,0.20272954431488927,0.09749182617579748,0.1459869881393388,0.16868825610894625,7.01082849902988,4.002544124382152,0.017875000000000005,0.01089045332776421,,
mismatch,2,SMC,2.0,20,0.22709641288088228,0.09073224241912974,0.3976999394311052,0.21204879967733684,0.29175343804527076,0.34677301293305507,7.197559857924776,4.0575174588026846,0.018125000000000006,0.011147191055196492,,
mismatch,3,LQR,0.0,20,0.050989270932401576,0.020949506345984803,2.235403326828677e-05,2.5466807419046515e-05,4.323991015553475e-06,4.179233088304244e-06,2.648745658842392,2.202997524479642,0.002125,0.0044629321256204136,,
mismatch,3,LQR,1.0,20,0.07106357158607039,0.024454505810597906,0.08421336560751552,0.040333388281367406,0.08268857195507735,0.0941201806727627,3.416549262681903,2.305322605510963,0.003125,0.004579344356656541,,
mismatch,3,LQR,2.0,20,0.09890870556683555,0.033326064266823864,0.16621115719554602,0.07962969176277362,0.16271671976428478,0.18414123706099497,3.559241243307054,2.310007896136075,0.003125,0.004579344356656541,,
mismatch,3,PPO,0.0,60,0.043139548069812954,0.01867933968570276,0.009091709084647619,0.0060853665037896194,0.009053153715406855,0.00767148380241214,6.535917017098632,3.090089849534746,0.016833333333333332,0.009977375536626356,,
mismatch,3,PPO,1.0,60,0.0505829717861873,0.023030337512756203,0.048701968648060846,0.030209538343851237,0.03825504231499508,0.0338146861098031,6.306250708861681,2.608724092814828,0.016166666666666666,0.008392726202334057,,
mismatch,3,PPO,2.0,60,0.06558921886451075,0.02816991379733895,0.09547352081240411,0.06159952473416222,0.07444617070723325,0.0690021313806549,6.440593860340473,2.626178898785275,0.016291666666666666,0.008493413034331453,,
mismatch,3,SMC,0.0,20,0.07285224023120461,0.04147430958525918,5.085628939990851e-05,6.277985832402625e-05,6.611132994294166e-06,1.3156330810956562e-05,4.027899458241694,2.672930954073539,0.010124999999999999,0.008408759530519663,,
mismatch,3,SMC,1.0,20,0.09120122419532034,0.041840518418049255,0.1342183852526589,0.08621418471086736,0.12301924335770309,0.13868389375094226,5.199883384243156,2.592237995472779,0.013500000000000003,0.007669145289645008,,
mismatch,3,SMC,2.0,20,0.12550721633480666,0.05017836361215299,0.26216799941741764,0.15750065125006965,0.24118736647069455,0.27367674281652066,5.360496994136731,2.5803691613510136,0.013625000000000003,0.007799924088699434,,
