node,mismatch,num_paired_test_seeds,ppo_direct_disagreement_mean,ppo_direct_disagreement_ci95_low,ppo_direct_disagreement_ci95_high,sac_direct_disagreement_mean,sac_direct_disagreement_ci95_low,sac_direct_disagreement_ci95_high,relative_disagreement_reduction,paired_direct_difference_mean,paired_direct_difference_ci95_low,paired_direct_difference_ci95_high,ppo_continuous_mae_mean,ppo_continuous_mae_ci95_low,ppo_continuous_mae_ci95_high,sac_continuous_mae_mean,sac_continuous_mae_ci95_low,sac_continuous_mae_ci95_high,paired_continuous_difference_mean,paired_continuous_difference_ci95_low,paired_continuous_difference_ci95_high
2,0.0,20,0.012174479166666665,0.006634003079410282,0.017714955253923047,0.067578125,0.04289251095331202,0.09226373904668798,0.8198458574181118,-0.05540364583333333,-0.07761318947723754,-0.033194102189429114,0.01024620220498744,0.008674908825811215,0.011817495584163664,0.057592768416429865,0.047397971593979,0.06778756523888073,-0.047346566211442426,-0.05675394084813523,-0.03793919157474962
2,1.0,20,0.0388671875,0.019504110581575636,0.058230264418424355,0.0919921875,0.06513350576130442,0.11885086923869559,0.5774946921443738,-0.05312499999999999,-0.072641229764974,-0.03360877023502598,0.0283712188910815,0.018123994214390628,0.03861844356777237,0.07537689719617144,0.061083907003349175,0.0896698873889937,-0.047005678305089935,-0.06186022940458401,-0.03215112720559586
2,2.0,20,0.06634114583333334,0.0372332714222156,0.09544902024445107,0.112890625,0.07848899724644912,0.14729225275355087,0.4123414071510957,-0.046549479166666664,-0.06686291181264194,-0.026236046520691395,0.052133402853137854,0.036364979967466,0.0679018257388097,0.09224694103007398,0.07272646877675452,0.11176741328339344,-0.040113538176936143,-0.05842922581821673,-0.02179785053565555
3,2.0,20,0.040820312500000004,0.0268955089665319,0.05474511603346811,0.05390625,0.03978751656024479,0.06802498343975522,0.24275362318840576,-0.0130859375,-0.021260557547622145,-0.004911317452377856,0.033014934738710304,0.0232595016074036,0.042770367870017006,0.04964756329075802,0.04115925377085518,0.05813587281066086,-0.016632628552047713,-0.021884400237034515,-0.011380856867060911
