node,mismatch,comparison,num_paired_test_seeds,ppo_direct_disagreement_mean,baseline_direct_disagreement_mean,relative_disagreement_reduction,paired_disagreement_difference_mean,paired_disagreement_difference_ci95_low,paired_disagreement_difference_ci95_high,paired_exact_recovery_difference_mean,paired_exact_recovery_difference_ci95_low,paired_exact_recovery_difference_ci95_high
2,1.0,PPO - Fixed,20,0.0388671875,0.734765625,0.9471026049973419,-0.6958984375,-0.7273451164445547,-0.6644517585554454,0.85,0.6785440695301621,1.0214559304698378
2,1.0,PPO - LQR,20,0.0388671875,0.054296875,0.28417266187050366,-0.0154296875,-0.024379961277318507,-0.006479413722681496,0.1,-0.044051794835243074,0.24405179483524309
2,1.0,PPO - SMC,20,0.0388671875,0.0548828125,0.29181494661921714,-0.016015625,-0.027114201807381277,-0.004917048192618722,0.15,-0.021455930469837847,0.32145593046983784
2,2.0,PPO - Fixed,20,0.06634114583333334,0.7337890625,0.9095909857155533,-0.6674479166666667,-0.7074864266196077,-0.6274094067137257,0.7,0.49192518523798223,0.9080748147620177
2,2.0,PPO - LQR,20,0.06634114583333334,0.111328125,0.40409356725146195,-0.04498697916666666,-0.06945674363734694,-0.020517214695986392,0.1,-0.052685171253121665,0.2526851712531217
2,2.0,PPO - SMC,20,0.06634114583333334,0.1169921875,0.4329437952142459,-0.05065104166666666,-0.09035202902630823,-0.01095005430702508,0.1,-0.07606330479863041,0.2760633047986304
3,2.0,PPO - Fixed,20,0.040820312500000004,0.0431640625,0.05429864253393662,-0.002343749999999999,-0.014073340585122853,0.009385840585122856,-0.01666666666666667,-0.05155040090680439,0.018217067573471052
3,2.0,PPO - LQR,20,0.040820312500000004,0.0666015625,0.3870967741935484,-0.025781249999999995,-0.04760473051484519,-0.003957769485154802,0.13333333333333333,-0.04489921104119296,0.3115658777078596
3,2.0,PPO - SMC,20,0.040820312500000004,0.09375,0.5645833333333333,-0.0529296875,-0.08563215738470169,-0.020227217615298318,0.13333333333333333,-0.04489921104119293,0.3115658777078596
