node,mismatch,method,num_test_seeds,continuous_mae_mean,continuous_mae_ci95_low,continuous_mae_ci95_high,direct_key_word_disagreement_mean,direct_key_word_disagreement_ci95_low,direct_key_word_disagreement_ci95_high,legacy_key_word_disagreement_mean,legacy_key_word_disagreement_ci95_low,legacy_key_word_disagreement_ci95_high,recovered_image_mae_mean,recovered_image_mae_ci95_low,recovered_image_mae_ci95_high,exact_recovery_mean,exact_recovery_ci95_low,exact_recovery_ci95_high
2,0.0,Fixed,20,2.737676086533634,2.360382330553376,3.114969842513892,0.7369140625,0.7128112813924253,0.7610168436075747,0.75,0.712039018940446,0.787960981059554,89.18429361979166,75.21059077036774,103.15799646921558,0.05,0.0,0.15465120272041313
2,0.0,LQR,20,8.73976659931941e-09,-3.026831666902668e-09,2.0506364865541486e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.0,PPO,20,0.01024620220498744,0.008674908825811215,0.011817495584163664,0.012174479166666665,0.006634003079410282,0.017714955253923047,0.008333333333333333,0.0,0.02577520045340219,3.055159505208333,-3.3393628292467548,9.449681839663421,0.9666666666666666,0.8968991981863912,1.0
2,0.0,SMC,20,9.943093270218619e-08,4.502969664376916e-08,1.538321687606032e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,1.0,Fixed,20,2.3660294267227684,2.079462514328308,2.652596339117229,0.734765625,0.7085672135727481,0.7609640364272519,0.725,0.6889870512911892,0.7610129487088108,94.31844889322916,82.46970288065064,106.16719490580768,0.0,0.0,0.0
2,1.0,LQR,20,0.04845279064050677,0.03163759800933385,0.06526798327167968,0.054296875,0.029188746739032902,0.0794050032609671,0.0625,0.010519785921639789,0.1144802140783602,20.234871419270835,2.8661269667237086,37.603615871817965,0.75,0.5420791436865592,0.9579208563134408
2,1.0,PPO,20,0.0283712188910815,0.018123994214390628,0.03861844356777237,0.0388671875,0.019504110581575636,0.058230264418424355,0.0375,0.0,0.08036398261745946,12.459912109375,-2.251782477449339,27.17160669619934,0.85,0.6785440695301621,1.0
2,1.0,SMC,20,0.048964487692380015,0.028473671770787235,0.0694553036139728,0.0548828125,0.027608191081225468,0.08215743391877453,0.075,0.01998931218110416,0.13001068781889583,24.81871744791667,6.085099067584704,43.55233582824863,0.7,0.4799572487244166,0.9200427512755833
2,2.0,Fixed,20,2.3534846470469954,2.0637931886100724,2.6431761054839185,0.7337890625,0.7072877344700099,0.76029039052999,0.725,0.6726743986397934,0.7773256013602066,89.1466796875,73.59784314022627,104.69551623477372,0.05,0.0,0.15465120272041313
2,2.0,LQR,20,0.09632030731348398,0.06481824158628303,0.12782237304068494,0.111328125,0.06532436603198871,0.1573318839680113,0.125,0.02821810841110403,0.22178189158889597,30.944287109375,9.843669282650644,52.04490493609936,0.65,0.4209722431203176,0.8790277568796825
2,2.0,PPO,20,0.052133402853137854,0.036364979967466,0.0679018257388097,0.06634114583333334,0.0372332714222156,0.09544902024445107,0.0625,0.013697208942882774,0.11130279105711723,21.626866319444446,4.448750482396111,38.804982156492784,0.7499999999999999,0.5547888357715309,0.9452111642284688
2,2.0,SMC,20,0.09843914545566575,0.05457604920309367,0.14230224170823783,0.1169921875,0.06082372435510665,0.17316065064489333,0.125,0.02821810841110403,0.22178189158889597,30.945393880208332,9.844041727629978,52.046746032786686,0.65,0.4209722431203176,0.8790277568796825
3,2.0,Fixed,20,0.0428153093163625,0.031082430459234825,0.05454818817349018,0.0431640625,0.030081653661584593,0.05624647133841541,0.025,0.0,0.06101294870881077,9.007568359375,-4.355108229855418,22.370244948605418,0.9,0.7559482051647569,1.0
3,2.0,LQR,20,0.05537663928538071,0.03999765681360135,0.07075562175716008,0.0666015625,0.042006077735385304,0.0911970472646147,0.0625,0.010519785921639789,0.1144802140783602,21.626497395833333,3.238235882615868,40.0147589090508,0.75,0.5420791436865592,0.9579208563134408
3,2.0,PPO,20,0.033014934738710304,0.0232595016074036,0.042770367870017006,0.040820312500000004,0.0268955089665319,0.05474511603346811,0.029166666666666667,0.0,0.06556656530336402,10.071272786458334,-3.3115340367859574,23.454079609702625,0.8833333333333332,0.7377337387865437,1.0
3,2.0,SMC,20,0.07568323172138966,0.0423848667211889,0.10898159672159041,0.09375,0.05403173622141531,0.1334682637785847,0.0875,0.009011597959690143,0.16598840204030985,22.835970052083333,3.040960949046166,42.6309791551205,0.75,0.5420791436865592,0.9579208563134408
