#{"t_start": 1788625365.5496018, "env_id": "None"}
r,l,t
-123.553007,400,3.043593
-234.514842,400,4.743177
-159.699991,400,6.429464
-169.619144,400,8.077701
-183.977144,400,9.138013
-143.631517,400,10.732792
-152.577734,400,12.359397
-99.973936,400,13.962308
-88.740269,400,15.504385
-79.282839,400,16.56184
-61.928141,400,18.18625
-56.74017,400,19.748723
-47.658509,400,21.402637
-39.731699,400,22.445755
-42.471859,400,24.027355
-29.667183,400,25.580287
-27.488218,400,27.23741
-30.437384,400,28.759012
-23.032508,400,29.845036
-22.252815,400,31.423671
-19.44372,400,33.048473
-19.608455,400,34.746048
-19.658362,400,35.889766
-15.74732,400,37.465707
-15.888401,400,39.04724
-14.196913,400,40.658093
-16.109953,400,42.328212
-12.950255,400,43.367088
-12.935612,400,44.985183
-13.512817,400,46.551307
-12.062939,400,48.178832
-11.54352,400,49.275485
-12.900439,400,50.835015
-10.978293,400,52.447687
-10.701026,400,53.994796
-12.794375,400,55.575628
-11.166428,400,56.686334
-11.23166,400,58.270328
-9.92207,400,59.850137
-9.667243,400,61.396527
-9.664989,400,62.992671
-9.837332,400,64.124372
-11.056089,400,65.819633
-8.908808,400,67.45118
-12.414591,400,69.050823
-10.098244,400,70.117005
-8.918349,400,71.783767
-9.303077,400,73.383584
-9.079679,400,75.012053
-8.580513,400,76.531124
-11.245334,400,77.599866
-8.451081,400,79.232557
-9.529243,400,80.940096
-8.572978,400,82.632999
-7.863135,400,83.736431
-8.178489,400,85.42893
-11.564628,400,87.151937
-7.920879,400,88.814248
-8.142143,400,90.468596
-7.786028,400,91.564191
-8.99236,400,93.207018
-7.468074,400,94.88152
-8.802598,400,96.618917
-7.56966,400,97.715664
-7.837841,400,99.411677
-8.241621,400,101.073507
-11.63809,400,102.708211
-7.236262,400,104.448434
-7.346955,400,105.603429
-11.838109,400,107.29026
-7.913708,400,108.996686
-11.300994,400,110.782353
-8.056589,400,112.529126
-6.947533,400,113.655877
-10.011615,400,115.342074
-7.13098,400,117.022624
-8.799182,400,118.715811
-10.196113,400,119.869313
-10.10012,400,121.629977
-6.906524,400,123.384726
-8.226523,400,125.071084
-7.346765,400,126.762523
-7.055071,400,127.920237
-7.041975,400,129.678049
-7.89267,400,131.357807
-9.883719,400,133.027418
-6.932715,400,134.14508
-6.833882,400,135.84115
-9.186938,400,137.563735
-6.6314,400,139.237521
-10.020083,400,140.9187
-12.038651,400,142.041218
-7.272478,400,143.724604
-6.717926,400,145.46413
-7.001705,400,147.180707
-6.7592,400,148.323103
-7.076006,400,150.05147
-6.582989,400,151.807869
-6.964346,400,153.583367
-6.578507,400,155.445462
-9.034886,400,156.745214
-7.52129,400,158.466818
-6.9323,400,160.036333
-5.845748,400,161.6717
-5.831866,400,163.321833
-7.080807,400,164.34964
-5.656922,400,165.883171
-6.254105,400,167.533417
-5.463957,400,169.268948
-5.250574,400,170.400541
-6.033225,400,171.925241
-6.568894,400,173.491539
-6.370791,400,175.131958
-5.056521,400,176.75768
-6.604691,400,177.879085
-5.498039,400,179.499272
-4.995244,400,181.084295
-5.965975,400,182.732889
-5.930353,400,183.828207
-5.140168,400,185.48275
-5.52209,400,187.011368
-5.550376,400,188.636497
-5.090959,400,190.282192
-6.266732,400,191.40693
-4.8861,400,193.03953
-4.472973,400,194.664207
-6.920775,400,196.286497
-7.13621,400,197.364876
-5.056326,400,198.964476
-4.223667,400,200.604455
-4.416191,400,202.226231
-4.354087,400,203.834356
-4.393336,400,204.895452
-3.985827,400,206.501631
-4.98919,400,208.187238
-8.927677,400,209.826587
-4.811626,400,211.598851
-3.632945,400,212.698833
-4.606355,400,214.572885
-4.41179,400,216.501476
-4.168837,400,218.324887
-3.888803,400,219.523518
-4.45455,400,221.249149
-3.503566,400,223.084028
-4.297325,400,224.852458
-5.553379,400,226.626577
-3.135768,400,227.801973
-3.524216,400,229.586321
-3.84553,400,231.355901
-3.743874,400,233.147692
-2.94847,400,234.387508
-4.217579,400,236.325878
-4.022752,400,238.153853
-3.053528,400,239.980245
-3.452185,400,241.812763
-2.87442,400,243.065386
-3.59794,400,244.941149
-3.594635,400,246.812884
-3.144229,400,248.674365
-3.842621,400,249.945073
-6.449104,400,251.877997
-3.00625,400,253.746764
-3.534862,400,255.696877
-3.140762,400,257.603939
-3.391781,400,258.892256
-2.4549,400,260.839339
-3.971695,400,262.681983
-3.475083,400,264.545774
-3.482364,400,266.490888
-4.080412,400,267.822962
-6.807168,400,269.797152
-4.586978,400,271.756883
-2.626931,400,273.663494
-2.804487,400,274.883396
-5.191193,400,276.826673
-2.471897,400,278.704921
-2.95999,400,280.56828
-3.719779,400,282.402943
-2.394896,400,283.579238
-2.943405,400,285.484124
-3.066735,400,287.319245
-2.717259,400,289.222667
-5.852646,400,290.458553
-4.666739,400,292.337666
-4.160509,400,294.214763
-4.052937,400,296.086223
-2.111595,400,298.014195
-3.734313,400,299.218072
-4.122388,400,301.116362
-3.863961,400,303.043853
-2.502842,400,304.886848
-2.236632,400,306.158631
-4.050108,400,308.009953
-4.754149,400,309.884682
-2.07206,400,311.802882
-6.581362,400,313.813745
-5.001306,400,315.123067
-3.433829,400,317.086349
-3.777565,400,319.06157
-1.913473,400,321.050237
-5.333098,400,322.977936
-2.537918,400,324.235172
-3.218472,400,326.175127
-3.399966,400,328.008628
-2.448994,400,330.018689
-2.801074,400,331.36918
-1.784988,400,333.359337
-2.534639,400,335.748772
-2.252002,400,337.784031
-2.403747,400,339.882006
-2.689493,400,341.278702
-3.101197,400,343.498945
-2.822862,400,345.660462
-2.287104,400,347.760357
-2.054992,400,349.183466
-2.602046,400,351.414533
-4.032635,400,353.56181
-3.536731,400,355.72342
-2.505996,400,357.936214
-1.824725,400,359.308318
-3.805021,400,361.437215
-2.393768,400,363.911337
-3.634799,400,366.074663
-4.156598,400,367.447368
-2.595612,400,369.572728
-2.019353,400,371.852851
-1.969241,400,374.019248
-1.843603,400,376.2261
-2.513512,400,377.676352
-2.651386,400,379.866424
-2.16526,400,382.027073
-4.610619,400,384.517356
-5.454787,400,386.775109
-1.62518,400,388.238379
-2.564236,400,390.600713
-1.530069,400,392.894922
-1.697012,400,395.251402
-1.611046,400,396.658848
-5.938897,400,398.615072
-2.043154,400,400.525388
-2.706282,400,402.509877
-2.164175,400,404.518778
-2.254804,400,405.820198
-1.724221,400,407.724061
-2.660605,400,409.646828
-2.810479,400,411.541273
-1.498823,400,412.800136
-2.353611,400,414.714347
-3.61543,400,416.628802
-2.100299,400,418.481902
