#{"t_start": 1788623966.589215, "env_id": "None"}
r,l,t
-158.484775,400,4.937984
-166.11805,400,6.481046
-249.973799,400,8.008646
-218.614498,400,9.52714
-183.655252,400,10.509822
-212.040687,400,12.111718
-212.968277,400,13.770654
-192.584447,400,15.430463
-255.146146,400,17.017376
-251.606113,400,18.109435
-222.570212,400,19.749607
-208.080748,400,21.342577
-157.244598,400,22.937019
-136.525224,400,23.9729
-160.053719,400,25.557768
-135.454341,400,27.177933
-144.379781,400,28.879166
-182.735399,400,30.479907
-132.33084,400,31.502643
-145.041877,400,33.060018
-201.472793,400,34.790818
-122.702392,400,36.516639
-153.813266,400,37.652796
-162.157216,400,39.346958
-130.722835,400,41.080632
-149.34381,400,42.760994
-149.1279,400,44.465853
-116.155985,400,45.580801
-96.06752,400,47.333134
-110.221288,400,49.176731
-133.439604,400,50.953079
-84.83484,400,52.140151
-122.068912,400,53.881603
-123.384287,400,55.597114
-137.958196,400,57.298782
-158.996998,400,58.980887
-103.094181,400,60.079797
-83.060487,400,61.772287
-86.545263,400,63.37991
-120.177317,400,65.003354
-103.245979,400,66.643403
-65.070682,400,67.759116
-96.210685,400,69.38727
-110.852051,400,71.019566
-78.555757,400,72.634629
-92.165345,400,73.683466
-58.142568,400,75.333701
-42.310842,400,77.003308
-43.698035,400,78.599185
-53.750567,400,80.229091
-37.914612,400,81.312939
-38.2092,400,83.071717
-85.53487,400,84.922862
-39.385184,400,86.773305
-35.1909,400,87.891119
-65.775957,400,89.748994
-34.360787,400,91.498351
-30.370544,400,93.285567
-52.863579,400,94.94908
-74.473468,400,96.009374
-64.100395,400,97.656429
-40.083259,400,99.296138
-35.201146,400,101.072837
-32.597054,400,102.222884
-88.194335,400,103.865044
-35.668224,400,105.487374
-41.963321,400,107.058637
-30.604194,400,108.727876
-30.737018,400,109.766924
-24.036328,400,111.389243
-19.375065,400,113.052662
-39.680261,400,114.759996
-36.446369,400,116.515102
-25.607259,400,117.615584
-21.6468,400,119.218666
-21.095082,400,120.902423
-19.953008,400,122.540287
-21.847857,400,123.703136
-46.36777,400,125.401495
-61.945552,400,127.044786
-20.768642,400,128.744503
-20.318182,400,130.357337
-20.405769,400,131.473177
-20.616875,400,133.16513
-20.724888,400,134.796951
-16.095399,400,136.396682
-23.578879,400,137.47145
-14.566946,400,139.185097
-16.640917,400,140.819216
-17.039646,400,142.42223
-25.76726,400,144.149192
-17.943623,400,145.278245
-15.819722,400,147.120676
-22.016829,400,148.873247
-32.464701,400,150.474796
-15.297226,400,151.588487
-47.478709,400,153.265393
-21.063084,400,155.035274
-15.643451,400,156.769686
-18.641713,400,158.47097
-37.583035,400,159.620558
-17.795132,400,161.304917
-16.772286,400,162.961783
-34.534704,400,164.710402
-21.860661,400,166.421777
-23.691617,400,167.50658
-18.992372,400,169.187413
-32.846745,400,170.727578
-16.297788,400,172.456382
-16.064723,400,173.510437
-22.016404,400,175.140966
-32.625952,400,176.749896
-29.698868,400,178.366907
-66.907945,400,180.017654
-20.872335,400,181.069707
-11.836239,400,182.696582
-13.197896,400,184.343472
-15.76414,400,185.997545
-16.605485,400,187.163548
-14.629085,400,188.944841
-12.805599,400,190.631836
-37.654399,400,192.32524
-37.76505,400,193.941179
-15.844741,400,195.052161
-25.784621,400,196.701073
-15.919451,400,198.332937
-86.145957,400,199.961588
-94.563423,400,201.020613
-51.659566,400,202.637617
-16.720198,400,204.3246
-31.851625,400,205.980664
-16.341407,400,207.636426
-67.427567,400,208.762061
-13.071201,400,210.470457
-21.874062,400,212.093462
-18.524745,400,213.730752
-13.126015,400,215.357214
-41.25418,400,216.441734
-16.217829,400,218.141481
-15.975529,400,219.798793
-65.105111,400,221.408559
-13.188967,400,222.511658
-13.352275,400,224.112917
-12.284954,400,225.712584
-15.666935,400,227.429952
-16.383582,400,229.307682
-15.477665,400,230.678779
-10.136658,400,232.673697
-12.510852,400,234.668272
-11.69904,400,236.644192
-14.433236,400,237.970855
-11.425654,400,239.869819
-12.275748,400,241.821383
-13.81863,400,243.808553
-18.526055,400,245.872908
-10.087986,400,247.178252
-11.68623,400,249.165025
-12.756786,400,251.145821
-11.291989,400,253.016243
-9.994135,400,254.347477
-11.075144,400,256.362408
-9.682483,400,258.352469
-13.189166,400,260.283543
-13.149452,400,262.192084
-66.60337,400,263.487628
-13.981469,400,265.447615
-12.429549,400,267.450758
-14.47066,400,269.420576
-14.309757,400,271.297057
-14.149608,400,272.549106
-79.817472,400,274.493339
-12.455767,400,276.392895
-14.929031,400,278.179814
-10.928158,400,279.369501
-11.504344,400,281.247355
-85.053095,400,283.175698
-24.108483,400,285.175721
-9.971677,400,287.05352
-13.886322,400,288.264274
-11.313949,400,290.187584
-37.545148,400,292.132307
-21.98873,400,294.031981
-16.530063,400,295.31963
-9.416046,400,297.202761
-10.525063,400,299.076153
-10.571586,400,301.063007
-12.388187,400,302.976389
-13.630542,400,304.253038
-10.252604,400,306.216156
-37.376236,400,308.034813
-13.162568,400,309.938119
-12.139722,400,311.204085
-10.370816,400,313.061653
-12.508727,400,314.894511
-29.425055,400,316.98072
-55.668283,400,318.918972
-11.471511,400,320.173053
-9.197674,400,321.993818
-11.606397,400,323.838379
-10.855243,400,325.714767
-10.810148,400,327.710299
-9.450698,400,328.968408
-8.422451,400,330.826484
-16.504725,400,332.814737
-10.239954,400,334.831268
-53.347383,400,336.196853
-43.331233,400,338.211241
-25.049053,400,340.170733
-8.858985,400,342.155958
-11.783485,400,344.059997
-18.438487,400,345.356365
-11.521184,400,347.404404
-10.161988,400,349.264949
-76.666764,400,351.33329
-16.527484,400,352.584311
-10.420657,400,354.541197
-11.899498,400,356.551112
-9.472947,400,358.506499
-13.581731,400,360.544158
-8.27969,400,361.825373
-10.430556,400,363.78484
-14.73939,400,365.796423
-18.925741,400,367.813467
-11.074972,400,369.077075
-10.798316,400,371.04941
-12.674422,400,373.001445
-8.32637,400,374.929629
-25.195921,400,376.897967
-28.838954,400,378.144278
-9.044849,400,380.069787
-9.823219,400,382.055807
-22.826332,400,384.087076
-9.682846,400,386.043307
-8.541704,400,387.284884
-7.902827,400,389.273419
-9.408788,400,391.295195
-33.737707,400,393.310058
-40.956288,400,394.602317
-16.161278,400,396.550194
-8.147425,400,398.571436
-100.190574,400,400.506905
-62.861484,400,402.557612
-12.551649,400,403.915635
-8.893458,400,405.895544
-7.270593,400,407.752428
-9.780764,400,409.599982
-26.312514,400,410.808229
-38.563799,400,412.628135
-7.358413,400,414.494404
-7.923375,400,416.365173
