#{"t_start": 1788623966.5846946, "env_id": "None"}
r,l,t
-243.372796,400,4.940997
-245.718414,400,6.484067
-225.208244,400,8.011157
-162.055578,400,9.529393
-274.068236,400,10.512332
-144.189974,400,12.114226
-273.864717,400,13.773666
-173.01366,400,15.432983
-180.54797,400,17.020396
-163.290271,400,18.111942
-165.25369,400,19.752105
-159.922953,400,21.345094
-215.449034,400,22.939539
-161.324509,400,23.974899
-157.946517,400,25.559766
-126.909914,400,27.180445
-134.996072,400,28.881679
-154.715088,400,30.483429
-141.269928,400,31.505644
-177.466999,400,33.06304
-147.278154,400,34.793338
-106.92795,400,36.519148
-138.101876,400,37.655308
-182.374103,400,39.348975
-117.142146,400,41.083648
-116.174272,400,42.763516
-87.10442,400,44.468363
-101.99145,400,45.582821
-112.799265,400,47.335647
-109.260349,400,49.179746
-110.241013,400,50.955584
-100.370621,400,52.14367
-108.041902,400,53.884116
-74.501362,400,55.59958
-102.95355,400,57.301798
-104.694647,400,58.983575
-58.812473,400,60.082316
-69.799917,400,61.77481
-75.945889,400,63.382432
-105.507341,400,65.005866
-87.261878,400,66.64541
-58.20466,400,67.761622
-50.550688,400,69.389781
-65.909411,400,71.023089
-103.399395,400,72.637137
-87.195788,400,73.685467
-50.340395,400,75.336713
-58.862792,400,77.005826
-60.338098,400,78.601699
-43.925067,400,80.231096
-41.203578,400,81.316454
-97.888183,400,83.074239
-34.48872,400,84.925384
-39.762184,400,86.77632
-45.275334,400,87.89413
-43.704206,400,89.751002
-54.581062,400,91.500347
-35.588309,400,93.288081
-36.180946,400,94.951595
-41.466407,400,96.012391
-30.115034,400,97.659943
-36.644015,400,99.298615
-32.721789,400,101.075358
-41.319234,400,102.225891
-33.425544,400,103.867555
-28.042263,400,105.489882
-48.471674,400,107.061147
-36.506796,400,108.730387
-29.259875,400,109.770439
-23.641161,400,111.392256
-23.586662,400,113.055168
-23.660904,400,114.763015
-29.09289,400,116.517614
-19.083121,400,117.618096
-22.930535,400,119.221171
-29.125687,400,120.904932
-21.157767,400,122.542807
-26.678142,400,123.706157
-23.148461,400,125.403992
-90.599555,400,127.047791
-24.980409,400,128.74651
-86.020569,400,130.359853
-20.614679,400,131.476198
-17.788301,400,133.168117
-99.122683,400,134.799965
-86.628392,400,136.400695
-27.501069,400,137.47397
-15.008704,400,139.188108
-29.111106,400,140.821229
-21.92741,400,142.424736
-14.813104,400,144.152211
-58.706612,400,145.280269
-72.243677,400,147.123684
-15.434837,400,148.875751
-20.647903,400,150.478311
-18.552329,400,151.591505
-20.238733,400,153.267351
-20.03376,400,155.03778
-17.450102,400,156.771695
-34.327712,400,158.473989
-37.666802,400,159.623078
-14.297031,400,161.307929
-14.517494,400,162.964293
-26.656196,400,164.712906
-103.196757,400,166.42429
-32.077537,400,167.5096
-14.826682,400,169.190434
-20.841787,400,170.729584
-20.132164,400,172.459396
-65.571269,400,173.513446
-14.627099,400,175.143983
-14.596471,400,176.752402
-13.448659,400,178.369918
-18.419057,400,180.020175
-44.361887,400,181.072228
-13.558762,400,182.699594
-15.313092,400,184.346484
-13.011141,400,186.000056
-75.256869,400,187.16556
-78.797901,400,188.947362
-90.277529,400,190.634345
-13.791284,400,192.327757
-11.319355,400,193.943691
-14.228794,400,195.053671
-15.638596,400,196.703591
-100.876547,400,198.335451
-21.177593,400,199.96461
-13.805432,400,201.02413
-18.350358,400,202.640122
-24.769562,400,204.327115
-31.205806,400,205.98318
-14.665716,400,207.638898
-20.914482,400,208.764066
-19.803758,400,210.473485
-13.572739,400,212.095968
-13.90505,400,213.733774
-14.012403,400,215.361236
-37.172077,400,216.444755
-22.975157,400,218.145497
-56.488225,400,219.801311
-13.643001,400,221.411069
-12.02036,400,222.51416
-17.150692,400,224.115438
-11.802675,400,225.715104
-22.314392,400,227.432462
-13.071728,400,229.310204
-13.581969,400,230.681798
-12.821954,400,232.676217
-21.967419,400,234.671789
-16.656441,400,236.647214
-71.218535,400,237.972857
-11.49665,400,239.871837
-13.191089,400,241.823385
-91.611644,400,243.810559
-11.30697,400,245.874913
-10.609576,400,247.181265
-14.382723,400,249.167546
-13.06724,400,251.147832
-33.852926,400,253.018755
-13.790751,400,254.349981
-12.94068,400,256.363927
-11.588927,400,258.354987
-10.256141,400,260.286062
-14.833808,400,262.194584
-20.792823,400,263.490592
-15.003433,400,265.450126
-17.228386,400,267.45278
-10.078837,400,269.423095
-16.298884,400,271.298557
-16.982537,400,272.551114
-10.768427,400,274.495862
-14.57903,400,276.395415
-19.511232,400,278.182335
-11.435933,400,279.372518
-9.156566,400,281.250302
-90.096892,400,283.178718
-12.035418,400,285.178742
-12.608896,400,287.055532
-10.746604,400,288.267288
-18.312465,400,290.189587
-16.597172,400,292.134321
-15.838967,400,294.033991
-9.520161,400,295.322129
-45.015796,400,297.20528
-9.008295,400,299.078659
-8.892335,400,301.065017
-17.941603,400,302.978899
-8.934674,400,304.25556
-83.682145,400,306.219176
-9.123651,400,308.037321
-13.921523,400,309.940621
-47.697879,400,311.206604
-95.548751,400,313.064669
-81.32997,400,314.896532
-12.324724,400,316.983228
-10.33752,400,318.92198
-9.736595,400,320.175563
-58.900962,400,321.996326
-8.802184,400,323.840892
-64.062572,400,325.716784
-11.493448,400,327.712818
-17.294659,400,328.97143
-9.236047,400,330.828993
-9.017508,400,332.817259
-9.075179,400,334.83379
-12.773153,400,336.198874
-10.281526,400,338.212763
-9.112194,400,340.172734
-10.396371,400,342.157973
-8.370897,400,344.06251
-11.867313,400,345.358386
-10.711068,400,347.406927
-28.999336,400,349.267958
-71.723783,400,351.333303
-9.733355,400,352.586332
-18.378035,400,354.543216
-8.221943,400,356.553134
-9.060553,400,358.508501
-8.354349,400,360.546167
-8.453463,400,361.827892
-10.194786,400,363.786843
-8.745655,400,365.798445
-8.775044,400,367.815986
-33.292347,400,369.080095
-7.61117,400,371.050915
-13.042543,400,373.003955
-17.709572,400,374.93165
-8.427404,400,376.900474
-15.627257,400,378.146784
-11.55537,400,380.072291
-9.946805,400,382.058319
-10.284499,400,384.090098
-17.345824,400,386.045311
-7.553907,400,387.287405
-13.713254,400,389.274915
-7.58229,400,391.298205
-8.059321,400,393.311565
-45.774,400,394.604835
-23.572082,400,396.552215
-8.306485,400,398.573958
-8.342312,400,400.509907
-44.049853,400,402.559633
-9.239482,400,403.918123
-7.45295,400,405.898058
-8.196494,400,407.754935
-14.451804,400,409.603502
-14.178421,400,410.810237
-8.101712,400,412.631144
-8.022487,400,414.496904
-9.012089,400,416.367681
