node,observation_dim,mae,final_l1,training_seeds,test_seeds
3,6,0.039775866378368,0.008061032354210759,42;123;1024,100:109
3,4,0.039003147360800745,0.005488701676949811,42;123;1024,100:109
3,2,0.05240752851109499,0.04874545073447125,42;123;1024,100:109
2,6,0.07607249304276485,0.01984109316642081,42;123;1024,100:109
2,4,0.7974370084019639,2.4873697757720947,42;123;1024,100:109
2,2,3.3271272255777156,11.309599876403809,42;123;1024,100:109
