#{"t_start": 1788623966.5867035, "env_id": "None"}
r,l,t
-177.951542,400,4.938988
-171.259636,400,6.482556
-170.510071,400,8.009649
-196.411081,400,9.528388
-173.293931,400,10.511329
-253.559172,400,12.112717
-157.802756,400,13.772666
-198.886732,400,15.431474
-295.180748,400,17.018888
-203.643834,400,18.110436
-182.418333,400,19.750603
-173.558639,400,21.344083
-144.543931,400,22.938031
-144.585981,400,23.973897
-117.553958,400,25.559271
-162.654281,400,27.179444
-112.847929,400,28.880672
-151.630236,400,30.481919
-143.177074,400,31.504146
-134.086324,400,33.061532
-91.422454,400,34.79183
-155.764909,400,36.518144
-148.21554,400,37.653803
-135.948927,400,39.347969
-194.065256,400,41.082138
-137.142769,400,42.762007
-120.4124,400,44.467358
-106.683164,400,45.581811
-182.481628,400,47.333982
-100.985773,400,49.178241
-98.692119,400,50.953575
-116.197559,400,52.142161
-103.4542,400,53.883109
-173.25205,400,55.59858
-108.32541,400,57.300289
-102.419776,400,58.982065
-122.789095,400,60.080806
-180.894657,400,61.773802
-109.649334,400,63.380921
-100.581428,400,65.004862
-143.127278,400,66.644405
-125.292996,400,67.760117
-58.13707,400,69.388783
-46.987618,400,71.021578
-60.027214,400,72.635128
-80.992834,400,73.684462
-81.191092,400,75.335208
-44.607332,400,77.004815
-48.225911,400,78.600697
-44.72373,400,80.229589
-69.847913,400,81.314445
-74.366838,400,83.07323
-45.963468,400,84.923879
-36.586326,400,86.774812
-42.724037,400,87.892121
-52.206575,400,89.749999
-47.86272,400,91.499347
-76.998463,400,93.28657
-37.14641,400,94.950086
-44.212426,400,96.010882
-38.947084,400,97.658441
-45.070696,400,99.297151
-71.033114,400,101.073848
-34.362665,400,102.224886
-36.47351,400,103.866551
-28.857719,400,105.488376
-37.347394,400,107.06014
-23.833961,400,108.729383
-47.140072,400,109.768932
-25.209386,400,111.390751
-26.796539,400,113.053662
-22.058692,400,114.761506
-21.550069,400,116.516608
-42.349587,400,117.617092
-24.637365,400,119.219667
-20.519806,400,120.903423
-23.274873,400,122.5413
-26.722237,400,123.704649
-26.294048,400,125.402492
-30.867765,400,127.046791
-19.179919,400,128.746009
-31.993424,400,130.358845
-25.637101,400,131.474689
-18.006742,400,133.166108
-15.081372,400,134.798458
-20.257482,400,136.399193
-20.749811,400,137.472462
-19.712161,400,139.187103
-16.316133,400,140.820224
-18.123671,400,142.423736
-22.246835,400,144.1507
-17.510171,400,145.279258
-24.493233,400,147.121675
-18.087323,400,148.874247
-29.811726,400,150.476302
-19.2454,400,151.589996
-14.219575,400,153.266347
-92.204092,400,155.036271
-16.029544,400,156.77069
-17.112069,400,158.47248
-24.614701,400,159.621568
-74.173329,400,161.306423
-17.497811,400,162.962284
-17.052316,400,164.711403
-16.071875,400,166.423285
-14.483186,400,167.508092
-117.759319,400,169.188926
-14.995933,400,170.72858
-15.991443,400,172.457894
-15.324298,400,173.511437
-13.01726,400,175.142473
-17.011949,400,176.750898
-18.762878,400,178.367909
-16.274724,400,180.018666
-25.872827,400,181.071218
-13.782999,400,182.698093
-13.89192,400,184.345479
-94.117475,400,185.998047
-13.334021,400,187.164555
-14.244164,400,188.945855
-24.333821,400,190.632842
-20.143683,400,192.326248
-55.999688,400,193.942686
-85.932661,400,195.053172
-30.804606,400,196.702083
-16.366788,400,198.334449
-14.219708,400,199.9631
-14.783404,400,201.022121
-17.490948,400,202.638621
-15.72681,400,204.326105
-14.458251,400,205.981672
-92.919181,400,207.637899
-37.953457,400,208.763566
-38.619111,400,210.471972
-68.392641,400,212.094464
-15.093158,400,213.732265
-14.421536,400,215.359725
-61.34892,400,216.443244
-11.826819,400,218.143488
-13.730923,400,219.800304
-24.447904,400,221.410065
-19.470604,400,222.513159
-12.080371,400,224.114431
-11.961482,400,225.713595
-12.315884,400,227.430454
-11.705702,400,229.309194
-12.194509,400,230.680288
-94.269432,400,232.674706
-20.367728,400,234.670279
-11.297455,400,236.645702
-98.913257,400,237.971853
-10.527908,400,239.870828
-41.470278,400,241.822383
-73.39829,400,243.809556
-13.583619,400,245.87391
-12.768656,400,247.180261
-22.990347,400,249.166538
-11.532932,400,251.146829
-34.139133,400,253.017249
-11.075252,400,254.347972
-11.723435,400,256.363418
-58.904545,400,258.353478
-11.257814,400,260.284553
-12.038299,400,262.192575
-27.793588,400,263.489091
-12.503828,400,265.448117
-13.699852,400,267.451772
-22.448022,400,269.421584
-12.613924,400,271.298051
-18.351687,400,272.550112
-11.920438,400,274.494353
-10.01347,400,276.393905
-15.124324,400,278.181327
-10.726905,400,279.371009
-21.611815,400,281.248293
-9.971035,400,283.177207
-16.569414,400,285.177734
-11.396125,400,287.05453
-11.771019,400,288.265783
-20.24367,400,290.188079
-16.568657,400,292.133312
-31.98571,400,294.032983
-10.598145,400,295.321129
-51.89131,400,297.20377
-30.62174,400,299.077655
-9.637592,400,301.064007
-27.224442,400,302.97689
-74.526531,400,304.254051
-14.640583,400,306.218166
-14.050068,400,308.035312
-56.217564,400,309.938612
-11.709037,400,311.205595
-11.174537,400,313.063662
-16.809309,400,314.895522
-15.561054,400,316.981718
-13.055033,400,318.920977
-9.422434,400,320.174054
-10.061926,400,321.995323
-16.150207,400,323.839891
-13.50902,400,325.715275
-10.387115,400,327.711809
-9.189903,400,328.96992
-10.996458,400,330.827989
-12.42477,400,332.81625
-9.59911,400,334.832281
-62.158243,400,336.197864
-83.641329,400,338.211755
-9.370814,400,340.170725
-11.553231,400,342.156973
-17.596452,400,344.061008
-10.268014,400,345.357377
-9.517161,400,347.405417
-16.183573,400,349.266954
-8.031151,400,351.332293
-8.389309,400,352.585322
-79.995243,400,354.54221
-8.848052,400,356.551627
-45.352258,400,358.507
-32.475864,400,360.54567
-32.568874,400,361.826384
-9.647075,400,363.784834
-8.125914,400,365.797437
-10.885945,400,367.814977
-19.976345,400,369.078586
-15.5464,400,371.05042
-18.109445,400,373.00295
-9.534506,400,374.930641
-8.100794,400,376.899471
-36.716748,400,378.144775
-8.962636,400,380.070783
-21.878434,400,382.05731
-13.690025,400,384.088588
-8.301167,400,386.044306
-91.682729,400,387.285897
-21.675443,400,389.273917
-34.495898,400,391.296702
-8.412919,400,393.31056
-13.050853,400,394.603323
-14.462346,400,396.551207
-10.888562,400,398.572449
-96.460862,400,400.507898
-10.017407,400,402.558619
-8.551456,400,403.916648
-8.203701,400,405.896557
-9.780278,400,407.75393
-8.973373,400,409.601493
-9.448667,400,410.809229
-68.995563,400,412.629135
-8.433658,400,414.495405
-8.022322,400,416.365672
