#{"t_start": 1788625365.5490944, "env_id": "None"}
r,l,t
-241.902371,400,3.043601
-177.469501,400,4.742676
-222.578351,400,6.429971
-168.806782,400,8.077709
-131.35337,400,9.137519
-98.593139,400,10.7328
-107.858838,400,12.358905
-86.487307,400,13.962316
-72.318166,400,15.503892
-82.849349,400,16.561836
-71.126055,400,18.186758
-54.585899,400,19.748727
-48.448267,400,21.402644
-31.557746,400,22.445762
-32.59874,400,24.026854
-32.67594,400,25.580294
-28.375837,400,27.236911
-28.786153,400,28.759019
-23.247543,400,29.845038
-21.054513,400,31.424178
-22.160103,400,33.047975
-18.254203,400,34.746055
-17.907296,400,35.889767
-16.780611,400,37.465214
-17.844472,400,39.046742
-14.570206,400,40.658093
-14.961507,400,42.328218
-13.734884,400,43.366079
-15.111102,400,44.985191
-12.792574,400,46.551311
-12.822849,400,48.178838
-11.557093,400,49.275494
-10.996231,400,50.835023
-11.678031,400,52.447063
-14.653577,400,53.994811
-10.930566,400,55.575637
-12.510406,400,56.68634
-10.392714,400,58.270327
-10.845428,400,59.850644
-11.222292,400,61.396534
-9.875888,400,62.992678
-9.28972,400,64.124378
-9.667546,400,65.82014
-9.227818,400,67.451189
-8.493298,400,69.050832
-9.459895,400,70.116511
-8.864061,400,71.782765
-11.081464,400,73.383591
-8.946276,400,75.01156
-9.090409,400,76.531132
-8.121672,400,77.598828
-8.960718,400,79.232059
-10.891472,400,80.939605
-8.222226,400,82.633
-8.62754,400,83.736938
-8.778958,400,85.428933
-8.626634,400,87.151943
-13.821726,400,88.813754
-12.573027,400,90.468596
-10.045834,400,91.564196
-9.490295,400,93.207025
-8.335884,400,94.881527
-8.49246,400,96.619425
-7.838974,400,97.716171
-9.748574,400,99.411181
-10.631933,400,101.073008
-9.639554,400,102.707714
-9.996829,400,104.448941
-10.462499,400,105.602932
-7.801956,400,107.289768
-7.563983,400,108.996687
-8.883484,400,110.781859
-7.50865,400,112.529634
-10.875634,400,113.655373
-6.798218,400,115.341575
-7.321589,400,117.022632
-7.607844,400,118.715311
-10.488918,400,119.869312
-7.821687,400,121.629485
-7.534873,400,123.384733
-6.871599,400,125.071091
-6.82217,400,126.762531
-7.0169,400,127.920245
-7.322836,400,129.678051
-7.257558,400,131.357314
-8.123912,400,133.027426
-10.802627,400,134.145588
-7.048348,400,135.840653
-7.002899,400,137.563236
-8.275341,400,139.236518
-11.025681,400,140.918208
-6.446794,400,142.041225
-7.539935,400,143.723598
-6.95751,400,145.464133
-7.007993,400,147.18021
-8.770782,400,148.322606
-6.716667,400,150.051477
-6.882224,400,151.808377
-6.641147,400,153.583874
-5.892384,400,155.445969
-5.799422,400,156.745221
-5.96617,400,158.466825
-7.075677,400,160.03634
-9.863369,400,161.671702
-5.846812,400,163.321839
-7.736271,400,164.349144
-7.339775,400,165.883678
-6.658436,400,167.533404
-9.792248,400,169.268955
-10.14336,400,170.400548
-6.756177,400,171.925749
-6.880349,400,173.49154
-5.621466,400,175.131457
-6.261323,400,176.757685
-5.526079,400,177.879092
-5.228188,400,179.498775
-5.414155,400,181.084802
-4.882466,400,182.732898
-7.957653,400,183.828214
-7.041644,400,185.482757
-4.947795,400,187.011373
-6.131433,400,188.636503
-6.882291,400,190.282198
-5.070075,400,191.406938
-4.900031,400,193.039532
-6.50942,400,194.66371
-4.439248,400,196.286505
-4.76504,400,197.364383
-5.262156,400,198.964479
-7.786589,400,200.604461
-4.360778,400,202.226238
-5.185803,400,203.834371
-3.734195,400,204.894957
-3.891153,400,206.501633
-6.12747,400,208.186236
-6.443357,400,209.826593
-7.939906,400,211.598853
-4.066404,400,212.698335
-4.360663,400,214.572887
-3.823588,400,216.501983
-3.951852,400,218.324355
-7.205598,400,219.52352
-3.81792,400,221.248649
-4.928918,400,223.083534
-4.366733,400,224.852467
-3.24674,400,226.626582
-3.537495,400,227.801974
-2.965424,400,229.586329
-3.671426,400,231.355909
-4.188829,400,233.1477
-4.20358,400,234.387009
-6.082677,400,236.325374
-2.977568,400,238.153354
-5.183395,400,239.980752
-5.164896,400,241.81277
-3.127925,400,243.065393
-4.056095,400,244.940648
-4.969529,400,246.812386
-6.015157,400,248.674366
-2.940669,400,249.944581
-3.848758,400,251.878005
-2.815551,400,253.746772
-5.514318,400,255.695884
-3.586544,400,257.603945
-2.718747,400,258.892257
-4.746806,400,260.839341
-3.865141,400,262.681991
-3.152882,400,264.545782
-2.679296,400,266.490889
-2.314624,400,267.823469
-2.735705,400,269.797153
-2.66521,400,271.756889
-2.913057,400,273.664001
-2.415454,400,274.883402
-5.323954,400,276.826178
-6.446486,400,278.704929
-2.236401,400,280.56828
-2.712689,400,282.40295
-3.007074,400,283.57874
-2.840224,400,285.48363
-2.659901,400,287.318746
-4.003947,400,289.222674
-4.991964,400,290.458562
-2.993537,400,292.337674
-2.453188,400,294.214772
-2.988882,400,296.086231
-3.260624,400,298.014202
-2.453584,400,299.217573
-2.602931,400,301.115865
-6.698176,400,303.044361
-2.669071,400,304.886357
-2.389094,400,306.157627
-3.758017,400,308.009457
-3.233226,400,309.88519
-2.231509,400,311.80239
-5.068263,400,313.813247
-3.503963,400,315.12257
-2.388622,400,317.086355
-2.128028,400,319.061577
-3.115146,400,321.04923
-2.33659,400,322.977943
-2.682179,400,324.23468
-3.528794,400,326.174627
-3.212262,400,328.009135
-2.79152,400,330.019196
-3.419593,400,331.369187
-2.892539,400,333.358841
-3.277318,400,335.748779
-5.507994,400,337.784539
-2.768633,400,339.881515
-2.260133,400,341.277697
-2.921175,400,343.498452
-3.42247,400,345.659457
-2.558035,400,347.759859
-2.09931,400,349.182972
-2.217514,400,351.414541
-2.548376,400,353.561818
-2.118414,400,355.722941
-3.54534,400,357.935222
-2.380043,400,359.308324
-2.153831,400,361.437217
-2.904775,400,363.911335
-8.277983,400,366.07467
-1.901626,400,367.447375
-1.76827,400,369.572237
-2.4063,400,371.852352
-2.057522,400,374.018759
-2.516847,400,376.2256
-1.679501,400,377.676358
-2.230273,400,379.866433
-2.414114,400,382.026581
-3.037441,400,384.516853
-4.677028,400,386.775114
-2.881118,400,388.237373
-2.135252,400,390.60021
-1.738084,400,392.894929
-1.432544,400,395.2514
-2.885621,400,396.658855
-2.56748,400,398.615079
-2.050696,400,400.525393
-5.690655,400,402.509887
-2.441405,400,404.518779
-2.852445,400,405.8197
-2.98925,400,407.724068
-1.646042,400,409.646835
-2.389264,400,411.540772
-1.863069,400,412.800144
-3.570112,400,414.714348
-2.196946,400,416.62931
-1.575633,400,418.481904
