#{"t_start": 1788623966.589215, "env_id": "None"}
r,l,t
-267.306613,400,4.946044
-161.617868,400,6.485558
-193.057497,400,8.004636
-152.775756,400,9.55317
-126.326316,400,10.530469
-121.422714,400,12.129859
-105.371275,400,13.763108
-123.5704,400,15.398772
-92.344595,400,17.012869
-58.775391,400,18.111445
-58.260804,400,19.742555
-56.339259,400,21.366655
-46.406228,400,22.982884
-36.586042,400,24.006584
-40.451784,400,25.584442
-33.19624,400,27.191027
-30.504149,400,28.90103
-26.721443,400,30.504042
-25.989177,400,31.55876
-20.387486,400,33.133979
-23.649039,400,34.879847
-20.464927,400,36.577875
-20.563943,400,37.716018
-17.623155,400,39.417252
-14.27386,400,41.129334
-14.098571,400,42.792621
-13.760465,400,44.480916
-12.893624,400,45.604377
-12.351807,400,47.401437
-11.714677,400,49.224443
-11.348941,400,51.015383
-11.074062,400,52.187542
-11.409131,400,53.933072
-13.81038,400,55.643289
-13.709025,400,57.288229
-13.694629,400,58.961632
-10.803784,400,60.083807
-9.561634,400,61.786344
-10.182214,400,63.371394
-14.819328,400,65.011432
-10.020169,400,66.639377
-9.194705,400,67.749576
-9.766533,400,69.371722
-14.455647,400,71.009535
-10.352956,400,72.606516
-10.485268,400,73.655282
-9.374942,400,75.335206
-8.67641,400,77.009342
-9.060974,400,78.611243
-9.311786,400,80.236123
-8.525892,400,81.347668
-9.306665,400,83.104511
-12.556349,400,84.937426
-8.763889,400,86.759747
-8.99044,400,87.904151
-12.98591,400,89.742472
-9.233991,400,91.542023
-8.048315,400,93.316264
-9.330697,400,94.978795
-12.306693,400,96.057664
-11.26545,400,97.699106
-11.856313,400,99.341134
-9.087583,400,101.112028
-10.292746,400,102.28418
-8.883154,400,103.884173
-8.374668,400,105.460288
-10.604511,400,107.041581
-8.101895,400,108.721845
-7.824867,400,109.777976
-8.575225,400,111.388239
-8.430606,400,113.032037
-8.970638,400,114.737403
-8.621271,400,116.513093
-8.027783,400,117.616588
-7.923681,400,119.2046
-7.475971,400,120.889817
-7.949526,400,122.545841
-8.298553,400,123.710672
-7.560068,400,125.402504
-8.732779,400,127.076317
-7.12036,400,128.778689
-8.002054,400,130.365367
-7.126586,400,131.491759
-7.67082,400,133.183714
-7.045971,400,134.814535
-7.635653,400,136.415318
-7.653144,400,137.499851
-6.734838,400,139.203687
-7.836699,400,140.860962
-8.894996,400,142.47045
-7.425167,400,144.2436
-7.102722,400,145.384814
-7.285726,400,147.22482
-8.44815,400,148.974487
-8.090652,400,150.577415
-6.265377,400,151.742445
-9.996162,400,153.33783
-6.724605,400,155.129255
-6.614886,400,156.855585
-7.559902,400,158.566421
-6.442028,400,159.689058
-6.090408,400,161.368154
-7.026139,400,163.034664
-6.022091,400,164.77123
-6.206293,400,166.518344
-6.489781,400,167.616469
-7.269406,400,169.298105
-8.530308,400,170.912259
-6.224157,400,172.596664
-6.263215,400,173.666722
-5.776535,400,175.283686
-6.691571,400,176.917888
-6.156042,400,178.53142
-7.641777,400,180.17721
-6.289155,400,181.238738
-5.432916,400,182.893504
-6.100178,400,184.532087
-5.350548,400,186.216655
-6.247682,400,187.390959
-5.531349,400,189.189163
-5.032528,400,190.881568
-6.378196,400,192.574447
-10.278115,400,194.193579
-5.385784,400,195.326093
-5.669847,400,196.980397
-4.851793,400,198.630219
-6.538574,400,200.298599
-5.760268,400,201.361092
-4.51857,400,203.032663
-4.748819,400,204.667514
-4.937711,400,206.333685
-4.596026,400,208.014415
-5.236525,400,209.172234
-4.111975,400,210.86642
-5.424015,400,212.464288
-4.221429,400,214.145982
-3.960133,400,215.818933
-8.661813,400,216.913904
-3.864628,400,218.602834
-4.576606,400,220.27278
-6.522527,400,221.890746
-4.728207,400,222.985645
-3.579705,400,224.578518
-4.049312,400,226.207465
-6.711231,400,227.928641
-4.698909,400,229.953174
-5.380292,400,231.303768
-3.376343,400,233.333323
-3.263869,400,235.31103
-4.101182,400,237.267443
-3.703161,400,238.531355
-5.002869,400,240.45617
-3.275978,400,242.397791
-3.849534,400,244.412844
-3.566059,400,246.47921
-3.13732,400,247.704243
-3.320245,400,249.780338
-2.991687,400,251.682703
-2.867185,400,253.606019
-2.970974,400,254.947347
-3.300041,400,256.91713
-3.078131,400,258.925128
-3.082349,400,260.896356
-3.346063,400,262.791414
-7.406623,400,264.120829
-2.880058,400,266.066309
-3.34132,400,268.07821
-3.462495,400,269.973087
-4.81178,400,271.827886
-4.372737,400,273.112416
-3.108237,400,275.076905
-2.805772,400,276.915054
-2.943273,400,278.729601
-3.617318,400,279.931729
-4.914355,400,281.80143
-7.981598,400,283.745739
-3.746253,400,285.74815
-2.407297,400,287.604791
-3.014491,400,288.830549
-2.74917,400,290.787866
-5.855301,400,292.733202
-3.131364,400,294.676412
-4.337055,400,295.915766
-2.491413,400,297.777146
-2.263921,400,299.682025
-3.114049,400,301.677842
-2.558441,400,303.614147
-2.423832,400,304.906997
