#{"t_start": 1788625365.5380542, "env_id": "None"}
r,l,t
-114.668433,400,3.078736
-203.428504,400,4.775818
-135.971986,400,6.4591
-161.380098,400,8.078695
-141.86276,400,9.122458
-114.876647,400,10.709699
-124.544632,400,12.35885
-72.047594,400,13.975859
-61.007873,400,15.527475
-50.687698,400,16.580941
-47.544744,400,18.212918
-42.942289,400,19.812478
-36.300363,400,21.417194
-31.20699,400,22.455295
-30.507501,400,24.030889
-23.257061,400,25.570695
-23.263803,400,27.240939
-23.456431,400,28.789153
-20.050619,400,29.845555
-18.372784,400,31.41505
-16.948519,400,33.031471
-20.093841,400,34.757095
-16.757887,400,35.893779
-14.580936,400,37.492863
-16.132509,400,39.082874
-12.627176,400,40.70439
-13.564085,400,42.347775
-13.518628,400,43.391393
-13.439768,400,44.993731
-12.828619,400,46.542807
-10.584091,400,48.183332
-11.098219,400,49.272492
-11.00471,400,50.831505
-11.186409,400,52.454589
-10.104834,400,54.003333
-12.309785,400,55.584677
-11.829904,400,56.676778
-11.642838,400,58.264269
-9.688972,400,59.839042
-9.412147,400,61.393442
-10.000801,400,62.980095
-8.65497,400,64.081173
-10.035009,400,65.761088
-9.052615,400,67.389241
-10.891531,400,69.002564
-9.155331,400,70.063545
-8.832858,400,71.70331
-9.799156,400,73.32585
-7.907443,400,74.944205
-8.10182,400,76.445711
-10.745365,400,77.488764
-8.663348,400,79.108359
-9.051267,400,80.777919
-8.856908,400,82.480741
-7.434482,400,83.583611
-7.459155,400,85.260073
-9.818342,400,86.983574
-9.681614,400,88.666312
-7.573376,400,90.314301
-7.295716,400,91.390684
-8.691987,400,93.030695
-7.88666,400,94.693744
-9.892751,400,96.418478
-7.352953,400,97.530617
-7.196352,400,99.259863
-8.072034,400,100.945313
-10.174231,400,102.577075
-7.737668,400,104.328546
-7.198352,400,105.470643
-11.296653,400,107.167304
-8.814145,400,108.824722
-11.013717,400,110.570559
-8.226824,400,112.314883
-7.070182,400,113.457289
-9.390845,400,115.149745
-7.8588,400,116.813276
-8.759747,400,118.50749
-9.180034,400,119.674407
-8.948617,400,121.415766
-7.277627,400,123.152143
-8.893229,400,124.833938
-8.382983,400,126.55024
-6.756596,400,127.710898
-7.746667,400,129.452546
-7.971078,400,131.130222
-8.806656,400,132.803626
-7.348622,400,133.893925
-7.366239,400,135.602402
-8.710087,400,137.315837
-6.381943,400,138.953065
-8.856779,400,140.630336
-11.044962,400,141.743454
-7.196359,400,143.457384
-6.738409,400,145.213424
-7.634293,400,146.93447
-7.495744,400,148.070641
-8.791706,400,149.774933
-6.318987,400,151.556086
-8.07361,400,153.304323
-8.084148,400,155.17495
-8.379887,400,156.482505
-7.724739,400,158.265078
-7.29853,400,159.845639
-6.678483,400,161.453301
-6.319856,400,163.116163
-7.886076,400,164.1608
-6.065515,400,165.740395
-7.993262,400,167.378568
-6.465951,400,169.10318
-6.051853,400,170.274774
-6.663431,400,171.810006
-7.076488,400,173.378398
-7.510829,400,175.000564
-6.852603,400,176.621035
-8.851298,400,177.722462
-6.717987,400,179.356651
-6.253049,400,180.91036
-6.654781,400,182.543014
-6.983775,400,183.625433
-5.902485,400,185.264401
-8.043569,400,186.881212
-6.918184,400,188.49009
-5.8728,400,190.097094
-7.032615,400,191.233065
-7.844626,400,192.888146
-7.399991,400,194.514038
-9.168195,400,196.133677
-8.657172,400,197.185835
-6.233747,400,198.806549
-5.633335,400,200.429543
-5.57007,400,202.045718
-5.718917,400,203.654573
-8.04833,400,204.73794
-6.280969,400,206.30419
-6.505475,400,207.976764
-9.31013,400,209.585682
-7.948696,400,211.378841
-6.235641,400,212.511463
-7.719523,400,214.370011
-5.426168,400,216.326495
-5.790346,400,218.14783
-5.427662,400,219.364589
-6.599024,400,221.065289
-5.106308,400,222.917678
-5.288853,400,224.666162
-6.605872,400,226.438211
-4.909238,400,227.589802
-7.150937,400,229.394142
-6.720502,400,231.135437
-6.329017,400,232.948251
-5.338044,400,234.139791
-4.940637,400,236.064045
-5.589533,400,237.92015
-5.354001,400,239.727767
-6.514852,400,241.595632
-4.911787,400,242.792271
-5.631149,400,244.669325
-6.805995,400,246.522097
-5.067565,400,248.350437
-5.734229,400,249.613158
-7.413701,400,251.508307
-6.931965,400,253.398592
-7.668639,400,255.321547
-5.965322,400,257.183728
-5.166337,400,258.510257
-4.48424,400,260.45134
-5.221114,400,262.335451
-6.046963,400,264.154268
-5.45925,400,266.090953
-5.186409,400,267.421432
-8.112845,400,269.390504
-5.411454,400,271.360465
-4.554356,400,273.257317
-5.529173,400,274.499802
-5.860591,400,276.372381
-5.075379,400,278.25185
-4.797716,400,280.153172
-4.105856,400,281.972864
-3.96746,400,283.17655
-3.913335,400,285.041755
-3.877549,400,286.918357
-3.919355,400,288.811008
-5.571466,400,290.043057
-5.123093,400,291.952887
-3.362342,400,293.826901
-4.756256,400,295.725767
-2.967068,400,297.62613
-6.231204,400,298.832184
-4.844183,400,300.692181
-6.900055,400,302.617458
-5.133287,400,304.481667
-3.706748,400,305.707587
-3.144523,400,307.579612
-6.39533,400,309.402504
-2.722667,400,311.260673
-5.829774,400,313.274744
-5.396186,400,314.549457
-4.622747,400,316.58157
-3.87505,400,318.538393
-2.461206,400,320.511318
-5.119296,400,322.476683
-3.530826,400,323.733866
-3.922338,400,325.718812
-4.0696,400,327.544091
-3.646395,400,329.445835
-5.38278,400,330.805393
-2.737498,400,332.834798
-4.372781,400,335.167001
-3.686177,400,337.308517
-4.617507,400,339.390508
-3.946557,400,340.774767
-3.322517,400,343.026965
-3.652671,400,345.207382
-3.806011,400,347.280424
-2.997712,400,348.683237
-2.783604,400,350.911046
-5.980003,400,353.042794
-2.823577,400,355.211983
-3.343066,400,357.389304
-2.199446,400,358.769954
-3.974891,400,360.916344
-2.576702,400,363.313057
-5.979642,400,365.524237
-4.772199,400,366.91872
-3.210507,400,369.024471
-3.385362,400,371.26268
-2.742877,400,373.455552
-3.081424,400,375.630432
-3.425865,400,377.124936
-3.522161,400,379.312609
-2.436159,400,381.43223
-2.784648,400,383.886681
-3.891124,400,386.190478
-2.153455,400,387.637197
-5.306685,400,389.991571
-3.435272,400,392.274131
-3.387597,400,394.614712
-2.834806,400,396.083048
-3.318254,400,398.074215
-2.149589,400,399.97715
-3.969946,400,401.935552
-2.510871,400,403.920691
-2.281045,400,405.230051
-2.093034,400,407.126549
-3.926482,400,409.032424
-1.786055,400,410.892024
-2.723291,400,412.155848
-1.898702,400,414.026839
-3.730907,400,415.969118
-2.173464,400,417.778243
