#{"t_start": 1788625192.1410966, "env_id": "None"}
r,l,t
-194.816809,400,1.971299
-129.517732,400,2.273892
-189.65729,400,2.554571
-204.743174,400,2.856548
-178.109536,400,3.153674
-240.022498,400,3.450419
-225.518134,400,3.734126
-222.24978,400,4.024535
-244.990613,400,4.297195
-297.128912,400,4.56253
-198.835789,400,4.856527
-142.639659,400,5.133477
-240.238147,400,6.957902
-150.046643,400,10.263614
-140.869102,400,13.533091
-220.169817,400,16.723114
-183.268142,400,20.066715
-104.398831,400,23.32764
-94.56553,400,26.583857
-47.014213,400,29.901642
-37.609245,400,33.114458
-30.909567,400,36.328243
-26.590362,400,39.574207
-25.032851,400,42.848887
-29.869318,400,46.111855
-32.829378,400,49.417571
-26.203558,400,52.70532
-25.46059,400,55.984657
-24.851592,400,59.162145
-25.045709,400,62.32532
-25.181342,400,65.680523
-18.04252,400,68.96209
-25.139888,400,72.304619
-20.159308,400,75.508799
-20.834089,400,78.780257
-21.086649,400,81.993527
-20.786312,400,85.243298
-17.710525,400,88.521634
-17.502038,400,91.761771
-15.222709,400,94.997574
-14.781761,400,98.294557
-15.29497,400,101.639901
-13.044679,400,104.841786
-12.114906,400,108.132217
-9.708656,400,111.351921
-18.655724,400,114.655432
-8.706594,400,117.868501
-13.228055,400,120.992966
-9.117367,400,124.269355
-7.71892,400,127.440237
-12.092603,400,130.678943
-8.667254,400,133.893679
-7.213115,400,137.173686
-7.266243,400,140.500367
-7.634072,400,143.74568
-11.801145,400,147.005281
-8.716093,400,150.311762
-7.71534,400,153.576192
-6.024688,400,156.827737
-12.619184,400,160.094927
-8.808007,400,163.338429
-12.298164,400,166.635861
-7.002268,400,170.042411
-7.785533,400,173.843994
-4.982916,400,177.800514
-7.316226,400,181.674001
-8.627356,400,185.490947
-4.050264,400,189.314765
-6.303008,400,193.10739
-9.55869,400,196.927482
-7.495768,400,200.730357
-8.29197,400,204.524554
-7.072036,400,208.484714
-6.062351,400,212.242006
-5.723516,400,216.124838
-8.144462,400,219.867609
-9.833041,400,223.731477
-12.850135,400,227.499375
-13.277244,400,231.311913
-8.610462,400,234.979803
-12.698234,400,238.948599
-15.361194,400,242.788122
-12.723341,400,246.61844
-8.667728,400,250.328578
-8.988526,400,254.213484
-7.105874,400,258.157988
-7.5141,400,262.150318
-11.439629,400,266.027039
-7.374667,400,270.010351
-5.741249,400,274.014782
-6.04964,400,278.011495
-6.291763,400,282.062504
-6.712476,400,286.22411
-7.057297,400,290.275643
-8.140962,400,294.392292
-5.428831,400,298.469561
-5.5435,400,302.609609
-5.422496,400,306.570186
-6.634719,400,310.575181
-5.177307,400,314.578342
-8.618916,400,318.669764
