method,controlled_nodes,scenario,mismatch,noise_std,num_controller_seeds,num_test_initial_conditions,mae_mean,mae_seed_sd,rmse_mean,rmse_seed_sd,steady_l1_mean,steady_l1_seed_sd,final_l1_mean,final_l1_seed_sd,energy_u_mean,energy_u_seed_sd,saturation_fraction_mean,saturation_fraction_seed_sd,mean_post_pulse_error_mean,mean_post_pulse_error_seed_sd
LQR,2,mismatch,0.5,0.0,1,20,0.1296921369402223,,0.3326418488633246,,0.10909251163334202,,0.06682240479858588,,5.281898055686231,,0.009375,,,
LQR,2,mismatch,1.0,0.0,1,20,0.16336520572815394,,0.3519050442150151,,0.21686601818059165,,0.1351935089100152,,5.345948737141466,,0.009375,,,
LQR,2,mismatch,1.5,0.0,1,20,0.19782267864509998,,0.3792861366760706,,0.3253007332391945,,0.20491506739053872,,5.444662008295616,,0.009375,,,
LQR,2,mismatch,2.0,0.0,1,20,0.23298215126299976,,0.4128265676065572,,0.43574011738550056,,0.2776608735555782,,5.576733804264058,,0.009375,,,
LQR,2,noise,0.0,0.01,1,20,0.1438111982174784,,0.32210311306552314,,0.1708184545179886,,0.18460614932700986,,4.157952171985142,,0.0063750000000000005,,,
LQR,2,noise,0.0,0.02,1,20,0.19932574311604973,,0.3645498172833705,,0.3438675841750623,,0.36776269334368406,,5.152617474821677,,0.0063750000000000005,,,
LQR,2,noise,0.0,0.05,1,20,0.37422106944735634,,0.5488242830311979,,0.8978920118684914,,0.9615972869098186,,11.671006111252641,,0.0072499999999999995,,,
LQR,2,nominal,0.0,0.0,1,20,0.09069465470204845,,0.30036757203149367,,2.023535435674367e-07,,5.043111741542816e-08,,3.775851110769346,,0.006500000000000001,,,
LQR,2,pulse,0.0,0.0,1,20,0.5128087248211269,,1.1046032711633855,,0.1044551154121434,,0.00577290952205654,,9.945537334120813,,0.01675,,2.5263997824837117,
LQR,3,mismatch,0.5,0.0,1,20,0.057436759929869005,,0.14644324663660452,,0.04249063862277835,,0.04173022640170525,,3.38517490983514,,0.003125,,,
LQR,3,mismatch,1.0,0.0,1,20,0.07106357158607034,,0.15323179906140835,,0.0842133656075155,,0.08268857195507731,,3.416549262681903,,0.003125,,,
LQR,3,mismatch,1.5,0.0,1,20,0.08493770055620133,,0.1627377457714897,,0.12539184722161195,,0.12298428136855359,,3.474554572712237,,0.003125,,,
LQR,3,mismatch,2.0,0.0,1,20,0.09890870556683552,,0.17422968367045089,,0.16621115719554597,,0.16271671976428476,,3.559241243307055,,0.003125,,,
