scenario,node,method,num_runs,num_train_seeds,mae_mean,mae_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,PPO,60,3,0.17025944706831286,0.08808097977307414,0.1966029342506349,0.07265763776050026,0.15001567126018928,0.16521651354065478,11.845567609284256,7.788156199424364,0.028541666666666674,0.020963505752767776,,
mismatch,2,SAC,20,1,0.18455802653861023,0.07019231701316847,0.30470815660995376,0.07286126485966006,0.23559369901195168,0.14034656157158268,10.100285957989438,4.94911145405764,0.0,0.0,,
mismatch,3,PPO,60,3,0.06558921886451075,0.028169913797338953,0.09547352081240408,0.06159952473416222,0.07444617070723325,0.06900213138065489,6.440593860340472,2.6261788987852746,0.016291666666666666,0.008493413034331453,,
mismatch,3,SAC,20,1,0.07897160099245451,0.027398098495328687,0.15102585453244016,0.05238652991363768,0.13472803081385792,0.06264211719511313,5.15902779307934,1.9321568833621183,0.0,0.0,,
nominal,2,PPO,60,3,0.0929981289513692,0.07331881807286514,0.04255003026902673,0.01758397956103889,0.03469352051615715,0.03025535253320978,9.088689533636172,6.680523355985502,0.02183333333333333,0.018214044373213174,,
nominal,2,SAC,20,1,0.15342965263766456,0.07357867093174869,0.21811886533985586,0.07238109781224926,0.17805394013412296,0.09539135691318812,8.118835795466278,4.4522067395394345,0.0,0.0,,
nominal,3,PPO,60,3,0.043139548069812954,0.01867933968570276,0.009091709084647619,0.006085366503789619,0.009053153715406855,0.007671483802412141,6.5359170170986305,3.0900898495347464,0.016833333333333332,0.009977375536626356,,
nominal,3,SAC,20,1,0.06247325789129961,0.020245272662372037,0.08521603779022204,0.019326674501180773,0.07975791557691991,0.043567688912060365,4.723116161935239,2.8802679189952305,0.0,0.0,,
pulse,2,PPO,60,3,0.43392935580179215,0.07583319871488314,0.09255125742815741,0.026461823555926647,0.06219498415788015,0.019539579842497757,17.51448125419147,6.454502124903508,0.039,0.018023054915151767,2.0800327339934173,0.14026813210279201
pulse,2,SAC,20,1,1.0085440138843782,0.16469433882118806,0.5727884277126487,0.1109985306165578,0.4063861221075058,0.010750776350351434,29.680997908238034,5.320968953446544,0.0,0.0,5.322231303145228,0.7743037044278716
pulse,3,PPO,60,3,0.25809529545536397,0.018667103351896617,0.025739931325148405,0.0006855621469364494,0.015736234188079835,0.004135316279721139,18.093363393441482,4.345953173835536,0.05166666666666665,0.013829061351122402,1.2968788871152408,0.01899134827638328
pulse,3,SAC,20,1,0.2653684325448678,0.019961728092902576,0.08523702006269661,0.0005266075224449459,0.054204386472702024,0.0010466472243076139,16.403057806470535,3.1015275937722167,0.020000000000000004,3.5595774664122295e-18,1.2953843396404916,0.01436175987554822
