node,method,mismatch,pulse_step,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std
2,LQR,0.0,-1,20,0.06765901261940278,0.06514147421994962,0.22702149381292092,0.19076821258082605,0.20297703785820836,0.19542442265984888,1.2876468791085996e-07,1.775931429419497e-07,3.026798367500305e-08,6.55957237911841e-08,0.08842107696727461,0.05362319920905905,3.852292756566608,3.3964073459896857,0.00625,0.00821183356664733
2,LQR,0.5,-1,20,0.1399137191545395,0.09203902989175206,0.33871029152895993,0.2576846848475244,0.41974115746361856,0.2761170896752561,0.1476110395098703,0.10264436831398624,0.06344453962519765,0.07938789957346518,0.11890464269507499,0.06340372899168852,4.211172817587169,3.9019441838452,0.006500000000000001,0.009746794344808964
2,LQR,1.0,-1,20,0.18868173833945937,0.10401498199796938,0.378383960775502,0.2471921726525864,0.5660452150183782,0.31204494599390814,0.3092721513049953,0.239644920434851,0.13419992080889642,0.16457071925463693,0.1425306937418752,0.06819253664966375,4.305323005637929,3.8827289732556602,0.006500000000000001,0.009746794344808964
2,LQR,1.5,-1,20,0.241563395065222,0.13168008814240742,0.43396448200669385,0.2516018256742513,0.724690185195666,0.3950402644272223,0.4944300910542047,0.4305477520998576,0.2164242302533239,0.2794092035599125,0.16667967525256058,0.07743350886612792,4.465486932392243,3.872281323208912,0.0063750000000000005,0.009335663086420693
2,LQR,2.0,-1,20,0.298914531821711,0.17634276296236354,0.5024159611561243,0.28479763782240564,0.8967435954651327,0.5290282888870906,0.7086181256902854,0.6830351057679919,0.4356615863740444,0.9180981831563569,0.18944735192498913,0.089300682500212,4.653571903909322,3.8964614013036427,0.0063750000000000005,0.009335663086420693
2,Linear,0.0,-1,20,2.605608379387266,0.47426774596054144,3.5590960074522053,0.5411755186501619,7.816825138161799,1.4228032378816247,8.088417456322063,1.687632999988126,8.593384639918805,1.30856879827886,1.4492325750465256,0.18752714997632247,52.50259886701315,10.46144356994768,0.005125,0.005160260601334414
2,Linear,0.5,-1,20,2.7013634666982043,0.46190928986940927,3.6848639378587675,0.4900029973072859,8.104090400094613,1.3857278696082276,8.565075438117814,1.6997946091866922,8.785982456803321,1.159110550741468,1.483891587458235,0.1872786573900902,54.64950458955089,10.571000912986952,0.0033750000000000004,0.004678829700728704
2,Linear,1.0,-1,20,2.7005132819401645,0.45590845935718555,3.6716306193289996,0.4956136224198943,8.101539845820493,1.3677253780715566,8.632485517245476,1.6695807278208816,8.826093258708715,1.1459024406547276,1.4949080508258052,0.1840582228458178,55.15504099205426,10.730843193421757,0.0033750000000000004,0.004678829700728704
2,Linear,1.5,-1,20,2.7038449613302356,0.4464492397840282,3.6739355933216045,0.4869018358601002,8.111534883990707,1.3393477193520842,8.631922185372698,1.6522632795604124,8.822957114130258,1.1544413114685421,1.5045037766811702,0.18620205033975423,55.74166682439835,10.999713225911007,0.0033750000000000004,0.004678829700728704
2,Linear,2.0,-1,20,2.7015588701173896,0.447435036856177,3.6716583983467457,0.48790235462897374,8.10467661035217,1.3423051105685309,8.630513091318678,1.6403338283938045,8.819028397649527,1.1695689827818185,1.5103771032389264,0.19620011906074164,56.188547480474746,11.622493306153315,0.0033750000000000004,0.004678829700728704
2,Zero Input,0.0,-1,20,1.0306326087382107,0.5298996603658207,1.444497455254621,0.7229523235197053,3.0918978262146317,1.589698981097462,2.028958416106122,1.0239318579841445,1.3712875093799084,1.1871562785302991,0.0,0.0,0.0,0.0,0.0,0.0
2,Zero Input,0.5,-1,20,1.0638556587591292,0.37957530055025895,1.4864301619672355,0.5124947970521686,3.1915669762773877,1.138725901650777,2.6243406161490572,1.0517119038109928,2.1140970865264537,1.6554389139765227,0.0,0.0,0.0,0.0,0.0,0.0
2,Zero Input,1.0,-1,20,1.132049031307416,0.4002857035518692,1.5601293844677793,0.5129436889827875,3.396147093922248,1.2008571106556076,2.7504590222216785,1.3707220267464173,1.519101645704359,1.1510944855765495,0.0,0.0,0.0,0.0,0.0,0.0
2,Zero Input,1.5,-1,20,1.1131568087196382,0.39081495709790376,1.5275314800082682,0.5050380516837916,3.339470426158914,1.1724448712937112,2.5482271355300865,0.7626443878614141,2.8995179641991853,1.6929392151991747,0.0,0.0,0.0,0.0,0.0,0.0
2,Zero Input,2.0,-1,20,1.1963746536769286,0.4121593476199401,1.6201739303353002,0.5136368744808418,3.5891239610307863,1.23647804285982,3.134100235064434,1.3203563979410695,2.6858863536268474,1.6576994974827228,0.0,0.0,0.0,0.0,0.0,0.0
3,LQR,0.0,-1,20,0.04334086575592607,0.023032970574193807,0.13681943438488123,0.06626835820474504,0.1300225972677782,0.06909891172258142,1.8332150253110833e-05,1.4967363739369781e-05,3.1221192330121993e-06,3.4034021406981513e-06,0.07962876263090995,0.04479403829441898,2.5325247380480134,2.294722131102967,0.0024999999999999996,0.004659455581480467
3,LQR,0.5,-1,20,0.05670402790264924,0.022832383089826366,0.1540229585953116,0.06980318862811588,0.17011208370794778,0.06849714926947909,0.05168213875070329,0.04036454875317874,0.02329520999919623,0.02906079628254986,0.08648589809836424,0.04160387406316023,2.60358620384178,2.7617239241418634,0.0032500000000000003,0.007075718300899508
3,LQR,1.0,-1,20,0.07454725003518523,0.026617282567728152,0.16419596616657223,0.06778716504358721,0.2236417501055556,0.07985184770318444,0.10470835007482818,0.0848198592245617,0.046156881493516266,0.05731416427105768,0.10637603941534671,0.04578491700781475,2.6546294839364584,2.7728158038564255,0.0032500000000000003,0.007075718300899508
3,LQR,1.5,-1,20,0.09319777166935893,0.03379143820896286,0.17912577532199647,0.06665697892204958,0.27959331500807677,0.10137431462688859,0.15936706750790222,0.13385483157948203,0.06873068530112506,0.0853564005184675,0.12674043361584247,0.05212247079536628,2.740717836013979,2.789134266578728,0.0032500000000000003,0.007075718300899508
